acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_facetest_response,correct_instructions,correct_sexrating_response,count_blank100,count_exemplarsequence,count_experiment,count_exposure,count_exposuresequence,count_faceexpose,count_facetest,count_facetest_response,count_instructions,count_logger,count_notes,count_sexrating,count_sexrating_response,count_test,count_testinstructions,datetime,description,disable_garbage_collection,experiment_file,experiment_path,faceno,fname,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_exposure,logfile,mouse_backend,opensesame_codename,opensesame_version,phase,repeat_cycle,response,response_facetest_response,response_instructions,response_sexrating_response,response_testinstructions,response_time,response_time_facetest_response,response_time_instructions,response_time_sexrating_response,response_time_testinstructions,round_decimals,sampler_backend,shifttype,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,synth_backend,time_blank100,time_exemplarsequence,time_experiment,time_exposure,time_exposuresequence,time_faceexpose,time_facetest,time_facetest_response,time_instructions,time_logger,time_notes,time_sexrating,time_sexrating_response,time_test,time_testinstructions,title,total_correct,total_response_time,total_responses,transparent_variables,type,uniform_coordinates,width,xshift,yshift
undefined,undefined,864,864,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,0,,0,0,0,0,,,0,0,0,0,0,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,6,0680.png,no,mono,no,18,no,black,no,no,1080,legacy,0,0,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,6,,space,6,,864,,801,864,,2,legacy,horizontal,1024,2,48000,-16,experiment,3,odd,legacy,1499,,636,1442,1496,1614,,,641,3498,,2632,2634,,,Feature Shift Prototypes,0,864,1,no,,no,1920,8,0
undefined,undefined,749.5,749.5,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,1,,0,0,1,1,,,0,1,0,1,1,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,1,010-8.png,no,mono,no,18,no,black,no,no,1080,legacy,1,1,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,635,,801,635,,2,legacy,vertical,1024,2,48000,-16,experiment,3,odd,legacy,3620,,636,1442,3617,3723,,,641,5362,,4725,4726,,,Feature Shift Prototypes,0,1499,2,no,,no,1920,0,-8
undefined,undefined,720,720,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,2,,0,0,2,2,,,0,2,0,2,2,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,3,0308.png,no,mono,no,18,no,black,no,no,1080,legacy,2,2,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,5,,space,5,,661,,801,661,,2,legacy,vertical,1024,2,48000,-16,experiment,3,odd,legacy,5443,,636,1442,5440,5545,,,641,7210,,6548,6549,,,Feature Shift Prototypes,0,2160,3,no,,no,1920,0,8
undefined,undefined,767.5,767.5,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,3,,0,0,3,3,,,0,3,0,3,3,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,4,04-80.png,no,mono,no,18,no,black,no,no,1080,legacy,3,3,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,6,,space,6,,910,,801,910,,2,legacy,horizontal,1024,2,48000,-16,experiment,3,odd,legacy,7299,,636,1442,7296,7401,,,641,9314,,8403,8403,,,Feature Shift Prototypes,0,3070,4,no,,no,1920,-8,0
undefined,undefined,784,784,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,4,,0,0,4,4,,,0,4,0,4,4,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,8,0880.png,no,mono,no,18,no,black,no,no,1080,legacy,4,4,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,850,,801,850,,2,legacy,horizontal,1024,2,48000,-16,experiment,3,odd,legacy,9399,,636,1442,9396,9501,,,641,11354,,10503,10503,,,Feature Shift Prototypes,0,3920,5,no,,no,1920,8,0
undefined,undefined,804.5,804.5,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,5,,0,0,5,5,,,0,5,0,5,5,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,6,06-80.png,no,mono,no,18,no,black,no,no,1080,legacy,5,5,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,5,,space,5,,907,,801,907,,2,legacy,horizontal,1024,2,48000,-16,experiment,3,odd,legacy,11446,,636,1442,11443,11548,,,641,13458,,12550,12550,,,Feature Shift Prototypes,0,4827,6,no,,no,1920,-8,0
undefined,undefined,805.857142857,805.857142857,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,6,,0,0,6,6,,,0,6,0,6,6,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,4,04-80.png,no,mono,no,18,no,black,no,no,1080,legacy,6,6,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,6,,space,6,,814,,801,814,,2,legacy,horizontal,1024,2,48000,-16,experiment,3,odd,legacy,13545,,636,1442,13542,13647,,,641,15466,,14650,14651,,,Feature Shift Prototypes,0,5641,7,no,,no,1920,-8,0
undefined,undefined,805.375,805.375,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,7,,0,0,7,7,,,0,7,0,7,7,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,4,0480.png,no,mono,no,18,no,black,no,no,1080,legacy,7,7,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,802,,801,802,,2,legacy,horizontal,1024,2,48000,-16,experiment,3,odd,legacy,15582,,636,1442,15579,15684,,,641,17490,,16687,16687,,,Feature Shift Prototypes,0,6443,8,no,,no,1920,8,0
undefined,undefined,804.888888889,804.888888889,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,8,,0,0,8,8,,,0,8,0,8,8,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,2,0280.png,no,mono,no,18,no,black,no,no,1080,legacy,8,8,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,3,,space,3,,801,,801,801,,2,legacy,horizontal,1024,2,48000,-16,experiment,3,odd,legacy,17608,,636,1442,17605,17710,,,641,19514,,18712,18712,,,Feature Shift Prototypes,0,7244,9,no,,no,1920,8,0
undefined,undefined,813.3,813.3,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,9,,0,0,9,9,,,0,9,0,9,9,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,5,0508.png,no,mono,no,18,no,black,no,no,1080,legacy,9,9,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,5,,space,5,,889,,801,889,,2,legacy,vertical,1024,2,48000,-16,experiment,3,odd,legacy,19631,,636,1442,19628,19734,,,641,21626,,20736,20736,,,Feature Shift Prototypes,0,8133,10,no,,no,1920,0,8
undefined,undefined,822.454545455,822.454545455,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,10,,0,0,10,10,,,0,10,0,10,10,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,7,070-8.png,no,mono,no,18,no,black,no,no,1080,legacy,10,10,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,6,,space,6,,914,,801,914,,2,legacy,vertical,1024,2,48000,-16,experiment,3,odd,legacy,21718,,636,1442,21715,21821,,,641,23738,,22824,22824,,,Feature Shift Prototypes,0,9047,11,no,,no,1920,0,-8
undefined,undefined,827.833333333,827.833333333,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,11,,0,0,11,11,,,0,11,0,11,11,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,6,0680.png,no,mono,no,18,no,black,no,no,1080,legacy,11,11,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,5,,space,5,,887,,801,887,,2,legacy,horizontal,1024,2,48000,-16,experiment,3,odd,legacy,23843,,636,1442,23840,23945,,,641,25834,,24947,24947,,,Feature Shift Prototypes,0,9934,12,no,,no,1920,8,0
undefined,undefined,828.923076923,828.923076923,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,12,,0,0,12,12,,,0,12,0,12,12,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,1,0108.png,no,mono,no,18,no,black,no,no,1080,legacy,12,12,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,842,,801,842,,2,legacy,vertical,1024,2,48000,-16,experiment,3,odd,legacy,25919,,636,1442,25916,26021,,,641,27866,,27023,27024,,,Feature Shift Prototypes,0,10776,13,no,,no,1920,0,8
undefined,undefined,829.928571429,829.928571429,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,13,,0,0,13,13,,,0,13,0,13,13,0,0,Wed 30 Oct 2019 11:28:06 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,8,08-80.png,no,mono,no,18,no,black,no,no,1080,legacy,13,13,/home/andy/svn/rmip/docs/openseslib/subject-3.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,6,,space,6,,843,,801,843,,2,legacy,horizontal,1024,2,48000,-16,experiment,3,odd,legacy,27966,,636,1442,27963,28068,,,641,29914,,29070,29071,,,Feature Shift Prototypes,0,11619,14,no,,no,1920,-8,0
