"date"	"cond"	"cb"	"subj"	"phase"	"blk"	"trial"	"stim"	"resp"	"cresp"	"rt"	"stim2"
"08-11-2014"	"rule"	1	12	1	1	1	"mushrooms"	-1	0	0	5
"08-11-2014"	"rule"	1	12	1	1	2	"cheese and garlic"	1	0	1727	3
"08-11-2014"	"rule"	1	12	1	1	3	"seafood and red meat"	-1	0	0	9
"08-11-2014"	"rule"	1	12	1	1	4	"seafood"	0	1	1431	7
"08-11-2014"	"rule"	1	12	1	1	5	"banana"	1	1	1810	13
"08-11-2014"	"rule"	1	12	1	1	6	"peanuts"	0	0	1605	20
"08-11-2014"	"rule"	1	12	1	1	7	"milk"	0	0	1510	4
"08-11-2014"	"rule"	1	12	1	1	8	"milk and mushrooms"	0	1	1465	6
"08-11-2014"	"rule"	1	12	1	1	9	"peanuts"	0	0	1337	20
"08-11-2014"	"rule"	1	12	1	1	10	"olive oil and coffee"	0	1	1786	12
"08-11-2014"	"rule"	1	12	1	1	11	"mushrooms"	1	0	1532	5
"08-11-2014"	"rule"	1	12	1	1	12	"avocado"	0	0	957	19
"08-11-2014"	"rule"	1	12	1	1	13	"orange squash and bread"	0	0	1560	18
"08-11-2014"	"rule"	1	12	1	1	14	"coffee"	0	0	850	11
"08-11-2014"	"rule"	1	12	1	1	15	"eggs"	0	1	695	14
"08-11-2014"	"rule"	1	12	1	1	16	"seafood"	0	1	1006	7
"08-11-2014"	"rule"	1	12	1	1	17	"cheese"	1	1	1174	1
"08-11-2014"	"rule"	1	12	1	1	18	"olive oil and coffee"	0	1	1031	12
"08-11-2014"	"rule"	1	12	1	1	19	"orange squash and bread"	0	0	973	18
"08-11-2014"	"rule"	1	12	1	1	20	"cheese"	1	1	874	1
"08-11-2014"	"rule"	1	12	1	1	21	"milk"	1	0	613	4
"08-11-2014"	"rule"	1	12	1	1	22	"olive oil"	1	0	957	10
"08-11-2014"	"rule"	1	12	1	1	23	"coffee"	0	0	1332	11
"08-11-2014"	"rule"	1	12	1	1	24	"pasta and chocolate"	0	1	1658	24
"08-11-2014"	"rule"	1	12	1	1	25	"olive oil"	1	0	1567	10
"08-11-2014"	"rule"	1	12	1	1	26	"cheese and garlic"	0	0	2519	3
"08-11-2014"	"rule"	1	12	1	1	27	"banana"	0	1	1017	13
"08-11-2014"	"rule"	1	12	1	1	28	"garlic"	0	1	2945	2
"08-11-2014"	"rule"	1	12	1	1	29	"milk and mushrooms"	1	1	2092	6
"08-11-2014"	"rule"	1	12	1	1	30	"pasta and chocolate"	0	1	2270	24
"08-11-2014"	"rule"	1	12	1	1	31	"red meat"	0	1	1093	8
"08-11-2014"	"rule"	1	12	1	1	32	"avocado"	0	0	1035	19
"08-11-2014"	"rule"	1	12	1	1	33	"seafood and red meat"	0	0	1797	9
"08-11-2014"	"rule"	1	12	1	1	34	"garlic"	0	1	952	2
"08-11-2014"	"rule"	1	12	1	1	35	"eggs"	1	1	2119	14
"08-11-2014"	"rule"	1	12	1	1	36	"red meat"	1	1	1539	8
"08-11-2014"	"rule"	1	12	1	2	1	"seafood and red meat"	1	0	2904	9
"08-11-2014"	"rule"	1	12	1	2	2	"garlic"	0	1	1002	2
"08-11-2014"	"rule"	1	12	1	2	3	"banana"	0	1	828	13
"08-11-2014"	"rule"	1	12	1	2	4	"milk and mushrooms"	1	1	2258	6
"08-11-2014"	"rule"	1	12	1	2	5	"seafood"	1	1	1020	7
"08-11-2014"	"rule"	1	12	1	2	6	"olive oil and coffee"	1	1	1042	12
"08-11-2014"	"rule"	1	12	1	2	7	"red meat"	1	1	1107	8
"08-11-2014"	"rule"	1	12	1	2	8	"red meat"	1	1	1156	8
"08-11-2014"	"rule"	1	12	1	2	9	"seafood"	1	1	1269	7
"08-11-2014"	"rule"	1	12	1	2	10	"mushrooms"	1	0	1318	5
"08-11-2014"	"rule"	1	12	1	2	11	"orange squash and bread"	0	0	2092	18
"08-11-2014"	"rule"	1	12	1	2	12	"avocado"	0	0	870	19
"08-11-2014"	"rule"	1	12	1	2	13	"cheese and garlic"	0	0	1066	3
"08-11-2014"	"rule"	1	12	1	2	14	"coffee"	0	0	997	11
"08-11-2014"	"rule"	1	12	1	2	15	"olive oil and coffee"	1	1	1169	12
"08-11-2014"	"rule"	1	12	1	2	16	"milk and mushrooms"	1	1	678	6
"08-11-2014"	"rule"	1	12	1	2	17	"cheese"	1	1	1339	1
"08-11-2014"	"rule"	1	12	1	2	18	"peanuts"	0	0	1489	20
"08-11-2014"	"rule"	1	12	1	2	19	"milk"	1	0	1001	4
"08-11-2014"	"rule"	1	12	1	2	20	"peanuts"	0	0	1561	20
"08-11-2014"	"rule"	1	12	1	2	21	"avocado"	0	0	1537	19
"08-11-2014"	"rule"	1	12	1	2	22	"coffee"	1	0	1678	11
"08-11-2014"	"rule"	1	12	1	2	23	"olive oil"	1	0	959	10
"08-11-2014"	"rule"	1	12	1	2	24	"eggs"	1	1	876	14
"08-11-2014"	"rule"	1	12	1	2	25	"orange squash and bread"	0	0	1932	18
"08-11-2014"	"rule"	1	12	1	2	26	"cheese and garlic"	1	0	1639	3
"08-11-2014"	"rule"	1	12	1	2	27	"cheese"	1	1	1583	1
"08-11-2014"	"rule"	1	12	1	2	28	"eggs"	1	1	707	14
"08-11-2014"	"rule"	1	12	1	2	29	"garlic"	1	1	660	2
"08-11-2014"	"rule"	1	12	1	2	30	"milk"	1	0	1743	4
"08-11-2014"	"rule"	1	12	1	2	31	"pasta and chocolate"	0	1	1229	24
"08-11-2014"	"rule"	1	12	1	2	32	"banana"	0	1	1731	13
"08-11-2014"	"rule"	1	12	1	2	33	"mushrooms"	1	0	961	5
"08-11-2014"	"rule"	1	12	1	2	34	"olive oil"	1	0	911	10
"08-11-2014"	"rule"	1	12	1	2	35	"seafood and red meat"	1	0	1185	9
"08-11-2014"	"rule"	1	12	1	2	36	"pasta and chocolate"	0	1	1206	24
"08-11-2014"	"rule"	1	12	1	3	1	"cheese"	0	1	2549	1
"08-11-2014"	"rule"	1	12	1	3	2	"seafood"	1	1	1517	7
"08-11-2014"	"rule"	1	12	1	3	3	"eggs"	1	1	1228	14
"08-11-2014"	"rule"	1	12	1	3	4	"milk and mushrooms"	1	1	1571	6
"08-11-2014"	"rule"	1	12	1	3	5	"peanuts"	1	0	1672	20
"08-11-2014"	"rule"	1	12	1	3	6	"coffee"	0	0	1183	11
"08-11-2014"	"rule"	1	12	1	3	7	"cheese and garlic"	1	0	1722	3
"08-11-2014"	"rule"	1	12	1	3	8	"milk"	1	0	847	4
"08-11-2014"	"rule"	1	12	1	3	9	"red meat"	1	1	896	8
"08-11-2014"	"rule"	1	12	1	3	10	"eggs"	1	1	606	14
"08-11-2014"	"rule"	1	12	1	3	11	"seafood and red meat"	1	0	968	9
