"date","subj","cbal","keyb","phase","block","trial","stim","vtft","ftpks","pk1acc","totpks","pos1rt","neg1rt"
2007-01-22,1,1,"right",1,1,1,"S2000",3,0,"+",1,46005,2684
2007-01-22,1,1,"right",1,1,2,"S1000",2,0,"+",1,695,3463
2007-01-22,1,1,"right",1,1,3,"S0010",2,1,"*",2,1289,571
2007-01-22,1,1,"right",1,1,4,"S0002",2,0,"*",1,2479,-1
2007-01-22,1,1,"right",1,1,5,"S0100",2,1,"*",2,2930,797
2007-01-22,1,1,"right",1,1,6,"S0020",2,0,"+",1,4530,674
2007-01-22,1,1,"right",1,1,7,"S0001",2,0,"+",1,735,5103
2007-01-22,1,1,"right",1,1,8,"S0200",3,0,"*",2,1432,-1
2007-01-22,1,1,"right",1,1,9,"S0001",3,0,"+",1,1004,3959
2007-01-22,1,1,"right",1,1,10,"S0200",2,0,"+",1,2232,674
2007-01-22,1,1,"right",1,1,11,"S0002",2,0,"*",2,1863,-1
2007-01-22,1,1,"right",1,1,12,"S1000",3,0,"*",3,3897,1638
2007-01-22,1,1,"right",1,1,13,"S0010",2,1,"*",3,-1,776
2007-01-22,1,1,"right",1,1,14,"S2000",3,2,"*",5,674,-1
2007-01-22,1,1,"right",1,1,15,"S0100",2,2,"*",4,-1,550
2007-01-22,1,1,"right",1,1,16,"S0020",2,0,"+",1,4223,654
2007-01-22,1,1,"right",1,1,17,"S0010",3,1,"*",4,2971,530
2007-01-22,1,1,"right",1,1,18,"S2000",3,1,"*",4,612,-1
2007-01-22,1,1,"right",1,1,19,"S0002",2,0,"*",2,1247,-1
2007-01-22,1,1,"right",1,1,20,"S1000",3,1,"*",4,-1,572
2007-01-22,1,1,"right",1,1,21,"S0001",3,0,"*",4,-1,1946
2007-01-22,1,1,"right",1,1,22,"S0020",3,0,"+",1,4939,1103
2007-01-22,1,1,"right",1,1,23,"S0200",2,1,"*",3,878,-1
2007-01-22,1,1,"right",1,1,24,"S0100",3,1,"*",6,-1,550
2007-01-22,1,1,"right",1,1,25,"S2000",3,1,"*",6,879,-1
2007-01-22,1,1,"right",1,1,26,"S0100",2,0,"*",4,-1,1350
2007-01-22,1,1,"right",1,1,27,"S0010",2,1,"*",4,-1,755
2007-01-22,1,1,"right",1,1,28,"S0020",3,0,"*",3,1883,-1
2007-01-22,1,1,"right",1,1,29,"S1000",3,1,"*",6,-1,612
2007-01-22,1,1,"right",1,1,30,"S0001",3,0,"*",4,-1,1329
2007-01-22,1,1,"right",1,1,31,"S0002",2,1,"*",4,529,-1
2007-01-22,1,1,"right",1,1,32,"S0200",3,1,"*",7,509,-1
2007-01-22,1,1,"right",1,1,33,"S1000",2,1,"*",5,-1,693
2007-01-22,1,1,"right",1,1,34,"S0002",2,2,"*",4,549,-1
2007-01-22,1,1,"right",1,1,35,"S0010",3,0,"*",8,-1,1042
2007-01-22,1,1,"right",1,1,36,"S0200",3,1,"*",5,632,-1
2007-01-22,1,1,"right",1,1,37,"S0001",2,0,"+",1,1576,6211
