"date","subj","keyb","phase","sess","trial","snum","stim","vtft","ftpks","pk1acc","totpks","pos1rt","neg1rt","fc","pz1","pz2","pz3","lsess"
"2006-06-30","As","left",1,1,1,NA,"SNA",NA,NA,NA,NA,NA,NA,"empty",-1,-1,-1,0
"2006-07-03","As","left",1,2,1,NA,"SNA",NA,NA,NA,NA,NA,NA,"missing",-1,-1,-1,1
"2006-07-06","As","left",1,3,1,1,"S0001",2,2,"$",3,8,-1,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,2,7,"S2000",2,0,"$",1,-1,42479,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,3,4,"S0100",2,0,"$",1,15241,-1,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,4,6,"S0020",2,0,"*",1,-1,2388,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,5,3,"S1000",3,0,"$",1,20820,-1,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,6,8,"S0200",3,0,"*",1,-1,3195,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,7,2,"S0010",2,1,"$",2,10,1042,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,8,5,"S0002",2,0,"$",1,-1,17590,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,9,1,"S0001",2,0,"$",1,15014,-1,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,10,5,"S0002",2,0,"$",1,3723,13930,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,11,2,"S0010",2,0,"$",1,51963,35303,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,12,8,"S0200",2,1,"$",2,-1,9,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,13,6,"S0020",2,0,"$",1,11914,25945,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,14,4,"S0100",2,0,"+",1,313501,24504,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,15,3,"S1000",3,0,"+",1,6887,1474,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,16,7,"S2000",3,0,"*",2,-1,1167,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,17,4,"S0100",3,0,"+",1,4817,1372,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,18,6,"S0020",3,0,"+",1,5124,6479,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,19,7,"S2000",3,0,"+",1,3640,7680,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,20,2,"S0010",3,0,"+",1,5330,1639,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,21,5,"S0002",2,0,"*",2,-1,1393,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,22,3,"S1000",2,0,"+",1,13575,1209,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,23,1,"S0001",2,0,"+",1,6314,1577,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,24,8,"S0200",2,0,"+",1,5412,9678,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,25,8,"S0200",3,0,"*",4,6254,1044,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,26,2,"S0010",3,0,"+",1,9616,6561,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,27,6,"S0020",3,0,"*",2,4264,1434,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,28,3,"S1000",3,0,"*",1,4592,-1,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,29,1,"S0001",2,0,"+",1,4141,1577,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,30,7,"S2000",3,0,"*",2,8366,2582,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,31,4,"S0100",2,0,"*",1,4366,-1,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,32,5,"S0002",3,0,"+",1,4776,14066,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,33,7,"S2000",2,0,"+",1,3648,13328,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,34,2,"S0010",3,0,"*",1,8878,-1,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,35,8,"S0200",2,0,"*",2,5596,1618,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,36,3,"S1000",3,0,"*",1,15337,-1,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,37,4,"S0100",3,0,"*",1,4982,-1,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,38,6,"S0020",3,0,"+",1,3034,12057,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,39,1,"S0001",3,0,"+",1,4858,2561,"",-1,-1,-1,0
"2006-07-06","As","left",1,3,40,5,"S0002",3,0,"*",2,2603,1249,"",-1,-1,-1,0
"2006-07-14","As","left",1,4,1,NA,"SNA",NA,NA,NA,NA,NA,NA,"empty",-1,-1,-1,0
"2006-07-18","As","left",1,5,1,3,"S1000",2,0,"+",1,17098,8587,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,2,7,"S2000",3,0,"+",1,4819,13063,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,3,1,"S0001",2,0,"*",1,3341,-1,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,4,4,"S0100",3,0,"+",1,39848,7237,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,5,5,"S0002",2,0,"*",2,-1,1311,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,6,2,"S0010",3,0,"*",1,9493,-1,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,7,6,"S0020",3,1,"*",2,4182,942,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,8,8,"S0200",3,0,"+",1,5310,8551,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,9,1,"S0001",3,0,"+",1,45364,6315,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,10,6,"S0020",2,0,"+",1,2402,7938,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,11,7,"S2000",2,0,"+",1,5926,53075,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,12,2,"S0010",3,0,"+",1,12203,6707,"",-1,-1,-1,2
"2006-07-18","As","left",1,5,13,4,"S0100",3,0,"+",1,20079,759,"",-1,-1,-1,2
