"date"	"cond"	"cb"	"subj"	"phase"	"blk"	"trial"	"stim"	"resp"	"rt"	"d1"	"d2"	"d3"	"d4"	"d5"	"d6"	"probestim"	"proberesp"	"probert"
"2009-04-02"	1	-1	11	1	1	1	-1	-1	-1	6	7	2	9	4	8	6	7	3147
"2009-04-02"	1	-1	11	1	1	2	-1	-1	-1	7	1	5	9	8	4	9	8	1940
"2009-04-02"	1	-1	11	1	1	3	-1	-1	-1	8	4	3	2	6	9	3	2	2223
"2009-04-02"	1	-1	11	1	1	4	-1	-1	-1	6	9	1	4	3	5	9	1	2719
"2009-04-02"	1	-1	11	1	1	5	-1	-1	-1	6	1	8	5	2	4	2	4	1800
"2009-04-02"	1	-1	11	1	1	6	-1	-1	-1	6	9	2	4	7	3	7	3	1387
"2009-04-02"	1	-1	11	1	1	7	-1	-1	-1	7	1	5	8	2	6	7	1	2484
"2009-04-02"	1	-1	11	1	1	8	-1	-1	-1	5	8	9	1	6	4	8	6	1725
"2009-04-02"	1	-1	11	1	1	9	-1	-1	-1	9	6	4	3	8	5	3	8	1653
"2009-04-02"	1	-1	11	1	1	10	-1	-1	-1	5	6	1	3	8	7	1	3	1480
"2009-04-02"	1	1	11	2	1	1	4	1	2518	2	6	7	4	3	1	3	1	1757
"2009-04-02"	1	1	11	2	1	2	20	0	6289	2	1	8	4	3	7	1	3	1754
"2009-04-02"	1	1	11	2	1	3	13	1	2035	6	3	4	5	8	7	6	3	2366
"2009-04-02"	1	1	11	2	1	4	14	1	1779	9	5	7	6	1	4	7	6	1763
"2009-04-02"	1	1	11	2	1	5	6	0	2472	9	2	8	7	5	1	7	5	1348
"2009-04-02"	1	1	11	2	1	6	16	1	1349	4	5	8	7	9	1	9	1	1119
"2009-04-02"	1	1	11	2	1	7	25	0	1746	4	5	6	8	9	3	6	7	1749
"2009-04-02"	1	1	11	2	1	8	1	1	1126	1	3	2	9	8	7	1	2	1538
"2009-04-02"	1	1	11	2	1	9	12	0	1217	5	4	2	3	7	9	4	2	1520
"2009-04-02"	1	1	11	2	1	10	7	1	1796	6	3	4	9	2	5	9	2	1439
"2009-04-02"	1	1	11	2	1	11	28	0	1459	8	3	4	1	9	6	4	1	1395
"2009-04-02"	1	1	11	2	1	12	25	1	1819	8	3	4	5	2	6	3	4	1084
"2009-04-02"	1	1	11	2	1	13	9	0	1630	3	4	7	9	2	8	3	4	1593
"2009-04-02"	1	1	11	2	1	14	1	1	970	4	8	9	6	1	7	1	7	1558
"2009-04-02"	1	1	11	2	1	15	22	0	1026	3	1	5	2	9	7	2	5	1204
"2009-04-02"	1	1	11	2	1	16	12	1	1215	7	6	1	4	5	8	6	2	1551
"2009-04-02"	1	1	11	2	1	17	28	0	2080	9	3	7	2	8	4	8	4	1326
"2009-04-02"	1	1	11	2	1	18	31	0	1480	1	2	5	9	8	6	5	2	1606
"2009-04-02"	1	1	11	2	1	19	3	1	994	2	9	1	4	6	5	2	9	1451
"2009-04-02"	1	1	11	2	1	20	5	0	1402	8	3	6	2	7	1	2	7	1511
"2009-04-02"	1	1	11	2	1	21	16	1	824	9	5	1	2	7	8	7	8	1751
"2009-04-02"	1	1	11	2	1	22	30	1	1352	6	8	2	4	3	9	4	3	1282
"2009-04-02"	1	1	11	2	1	23	10	1	1038	4	7	6	1	2	3	4	7	1439
"2009-04-02"	1	1	11	2	1	24	5	0	2170	6	1	2	7	3	8	1	2	2083
"2009-04-02"	1	1	11	2	1	25	17	0	928	8	4	2	7	6	5	2	7	1444
"2009-04-02"	1	1	11	2	1	26	13	1	1072	9	7	3	2	6	1	9	7	1482
"2009-04-02"	1	1	11	2	1	27	8	1	1093	6	1	5	7	3	4	7	3	893
"2009-04-02"	1	1	11	2	1	28	9	1	802	5	6	7	8	4	9	4	9	1373
"2009-04-02"	1	1	11	2	1	29	15	1	1195	3	5	6	7	4	8	6	7	2181
"2009-04-02"	1	1	11	2	1	30	20	0	896	5	9	4	6	2	1	9	4	1471
"2009-04-02"	1	1	11	2	1	31	23	0	1207	2	7	4	9	3	8	9	4	3660
"2009-04-02"	1	1	11	2	1	32	11	1	1089	9	4	3	5	7	2	7	2	1478
"2009-04-02"	1	1	11	2	1	33	4	0	1009	1	7	3	8	5	9	1	7	1605
"2009-04-02"	1	1	11	2	1	34	2	1	857	4	9	6	1	8	3	9	6	1280
"2009-04-02"	1	1	11	2	1	35	8	1	619	4	3	8	6	5	1	8	6	1209
"2009-04-02"	1	1	11	2	1	36	17	1	1399	3	8	1	7	2	4	1	2	3012
"2009-04-02"	1	1	11	2	2	1	13	0	1394	2	5	3	6	9	1	2	5	1157
"2009-04-02"	1	1	11	2	2	2	10	0	1472	7	3	2	8	5	4	3	2	1146
"2009-04-02"	1	1	11	2	2	3	13	0	667	2	3	9	6	8	5	6	8	1340
"2009-04-02"	1	1	11	2	2	4	16	0	842	9	3	5	6	4	7	4	7	1182
"2009-04-02"	1	1	11	2	2	5	2	0	1148	6	1	7	2	5	4	7	2	925
"2009-04-02"	1	1	11	2	2	6	20	1	1000	3	6	2	8	4	1	3	6	1092
"2009-04-02"	1	1	11	2	2	7	9	1	914	2	1	5	9	6	3	6	3	1387
"2009-04-02"	1	1	11	2	2	8	1	1	1172	4	5	1	3	9	2	3	9	1308
"2009-04-02"	1	1	11	2	2	9	5	0	1116	7	5	2	3	8	9	5	2	1774
"2009-04-02"	1	1	11	2	2	10	20	0	1229	7	5	4	3	9	6	7	5	2111
"2009-04-02"	1	1	11	2	2	11	1	1	1320	3	4	5	1	9	2	4	1	1269
"2009-04-02"	1	1	11	2	2	12	5	1	1190	1	2	7	5	9	4	5	9	1808
"2009-04-02"	1	1	11	2	2	13	28	0	1135	7	6	1	3	8	5	8	5	1198
"2009-04-02"	1	1	11	2	2	14	16	0	1217	5	1	8	6	2	7	8	6	1433
"2009-04-02"	1	1	11	2	2	15	28	0	586	9	8	1	5	2	4	5	2	827
"2009-04-02"	1	1	11	2	2	16	25	0	1154	3	6	2	8	9	4	3	6	1620
"2009-04-02"	1	1	11	2	2	17	6	1	1218	1	7	3	6	9	8	9	8	1346
"2009-04-02"	1	1	11	2	2	18	7	1	843	4	5	1	3	9	2	1	3	1031
"2009-04-02"	1	1	11	2	2	19	8	1	1015	6	7	4	3	8	2	7	4	1198
"2009-04-02"	1	1	11	2	2	20	22	0	881	5	6	2	4	1	3	5	6	1189
"2009-04-02"	1	1	11	2	2	21	8	0	950	9	8	7	2	6	3	2	6	1239
"2009-04-02"	1	1	11	2	2	22	25	1	1402	9	6	2	1	5	3	5	3	1119
"2009-04-02"	1	1	11	2	2	23	11	1	1898	6	5	8	7	4	2	8	7	1027
"2009-04-02"	1	1	11	2	2	24	14	0	1243	2	3	1	8	6	9	3	6	1088
"2009-04-02"	1	1	11	2	2	25	9	1	587	4	5	1	2	8	3	5	1	1180
"2009-04-02"	1	1	11	2	2	26	12	1	938	7	1	4	2	3	6	7	1	985
"2009-04-02"	1	1	11	2	2	27	23	0	728	8	2	4	3	5	6	4	5	1124
"2009-04-02"	1	1	11	2	2	28	30	1	1511	1	8	7	9	6	5	6	5	977
"2009-04-02"	1	1	11	2	2	29	17	0	831	3	4	1	9	8	6	9	8	1296
"2009-04-02"	1	1	11	2	2	30	3	0	1574	7	3	4	5	9	8	4	5	1006
"2009-04-02"	1	1	11	2	2	31	4	0	793	5	3	7	1	9	8	9	8	1210
"2009-04-02"	1	1	11	2	2	32	4	1	791	6	3	8	7	4	2	6	3	1505
"2009-04-02"	1	1	11	2	2	33	17	1	810	9	5	3	1	4	2	5	3	1326
"2009-04-02"	1	1	11	2	2	34	31	1	1089	2	3	6	1	7	4	1	7	1406
"2009-04-02"	1	1	11	2	2	35	15	1	873	8	6	4	7	9	3	7	9	1491
"2009-04-02"	1	1	11	2	2	36	12	1	721	5	9	4	6	3	8	4	6	1125
"2009-04-02"	1	1	11	2	3	1	1	1	1218	4	6	1	3	8	2	8	2	1186
"2009-04-02"	1	1	11	2	3	2	11	1	730	6	8	4	2	3	9	6	8	1374
"2009-04-02"	1	1	11	2	3	3	10	0	988	9	3	5	4	6	1	3	4	1302
"2009-04-02"	1	1	11	2	3	4	5	0	1043	9	8	5	2	4	1	5	2	911
"2009-04-02"	1	1	11	2	3	5	13	1	1447	7	6	2	5	9	8	7	6	1477
"2009-04-02"	1	1	11	2	3	6	13	0	752	4	8	5	1	7	9	8	5	1042
"2009-04-02"	1	1	11	2	3	7	17	1	828	4	5	6	1	2	7	2	7	1190
"2009-04-02"	1	1	11	2	3	8	23	0	814	1	4	5	6	9	3	6	9	1237
"2009-04-02"	1	1	11	2	3	9	5	0	808	5	1	2	6	7	4	6	7	1091
"2009-04-02"	1	1	11	2	3	10	9	1	513	8	5	9	7	2	4	2	4	1450
"2009-04-02"	1	1	11	2	3	11	28	0	1088	9	4	2	7	6	8	4	2	1157
"2009-04-02"	1	1	11	2	3	12	4	1	1120	4	5	8	2	1	9	8	2	917
"2009-04-02"	1	1	11	2	3	13	31	0	1159	4	8	2	5	6	3	4	8	1340
"2009-04-02"	1	1	11	2	3	14	12	1	602	8	9	4	3	2	5	4	3	822
"2009-04-02"	1	1	11	2	3	15	16	0	730	5	4	2	8	1	6	5	4	1014
"2009-04-02"	1	1	11	2	3	16	4	1	795	2	5	8	1	9	7	1	9	1669
"2009-04-02"	1	1	11	2	3	17	14	0	1046	4	3	7	2	8	1	8	1	1019
"2009-04-02"	1	1	11	2	3	18	7	0	624	4	8	7	5	9	6	8	7	1095
"2009-04-02"	1	1	11	2	3	19	30	1	964	9	8	3	7	2	6	2	6	1297
"2009-04-02"	1	1	11	2	3	20	8	0	719	8	4	7	6	9	2	8	4	944
"2009-04-02"	1	1	11	2	3	21	28	0	519	9	8	5	3	1	7	8	5	1466
"2009-04-02"	1	1	11	2	3	22	6	0	611	7	1	2	4	9	8	4	9	1423
"2009-04-02"	1	1	11	2	3	23	2	1	960	7	1	8	5	9	4	8	5	1996
"2009-04-02"	1	1	11	2	3	24	16	0	1121	9	7	1	8	3	6	1	8	1198
"2009-04-02"	1	1	11	2	3	25	12	1	617	8	6	4	2	5	1	2	5	1247
"2009-04-02"	1	1	11	2	3	26	1	0	1954	3	7	5	6	2	9	3	6	1261
"2009-04-02"	1	1	11	2	3	27	25	0	651	3	4	1	2	7	5	7	5	1263
"2009-04-02"	1	1	11	2	3	28	22	0	783	5	4	9	6	7	1	4	9	2014
"2009-04-02"	1	1	11	2	3	29	15	0	805	6	4	8	3	2	9	3	2	1897
"2009-04-02"	1	1	11	2	3	30	8	1	1144	6	2	3	9	4	5	6	2	1136
"2009-04-02"	1	1	11	2	3	31	20	1	1005	8	4	1	2	7	6	7	6	1577
"2009-04-02"	1	1	11	2	3	32	3	0	1287	6	9	4	3	1	5	4	3	972
"2009-04-02"	1	1	11	2	3	33	20	1	834	1	9	7	3	5	2	9	7	1395
"2009-04-02"	1	1	11	2	3	34	25	0	559	6	3	9	1	8	4	8	4	1786
"2009-04-02"	1	1	11	2	3	35	9	1	636	9	3	8	5	4	7	9	3	1053
"2009-04-02"	1	1	11	2	3	36	17	1	2099	6	7	8	2	5	9	8	2	987
"2009-04-02"	1	1	11	2	4	1	5	1	872	9	2	8	7	3	4	2	8	1337
"2009-04-02"	1	1	11	2	4	2	25	0	551	3	5	6	7	1	9	7	1	1008
"2009-04-02"	1	1	11	2	4	3	13	0	1083	1	5	9	2	6	4	1	5	1256
"2009-04-02"	1	1	11	2	4	4	2	0	1070	6	7	8	2	3	5	8	2	1855
"2009-04-02"	1	1	11	2	4	5	12	1	582	2	3	1	9	5	6	5	6	1724
"2009-04-02"	1	1	11	2	4	6	28	0	1056	1	6	4	8	5	3	6	4	983
"2009-04-02"	1	1	11	2	4	7	4	0	703	9	5	3	4	2	1	4	2	974
"2009-04-02"	1	1	11	2	4	8	5	1	859	3	1	5	8	7	4	7	4	1154
"2009-04-02"	1	1	11	2	4	9	1	1	699	2	6	1	5	3	8	1	5	1009
"2009-04-02"	1	1	11	2	4	10	10	1	987	9	5	7	8	3	6	5	7	1357
"2009-04-02"	1	1	11	2	4	11	12	1	520	8	7	3	1	2	6	8	7	1076
"2009-04-02"	1	1	11	2	4	12	25	0	847	6	9	4	2	5	7	2	9	1323
"2009-04-02"	1	1	11	2	4	13	13	0	830	8	6	3	9	7	4	8	6	1080
"2009-04-02"	1	1	11	2	4	14	9	1	531	4	1	9	6	5	3	6	5	990
"2009-04-02"	1	1	11	2	4	15	8	1	710	2	6	5	9	7	3	7	3	832
"2009-04-02"	1	1	11	2	4	16	17	1	727	8	7	4	6	3	1	7	4	1586
"2009-04-02"	1	1	11	2	4	17	20	1	940	1	3	2	7	8	9	2	7	1035
"2009-04-02"	1	1	11	2	4	18	31	0	1171	3	2	7	5	8	4	5	8	1194
"2009-04-02"	1	1	11	2	4	19	11	1	635	3	2	4	9	6	1	2	4	1156
"2009-04-02"	1	1	11	2	4	20	16	1	1132	6	3	2	1	9	7	6	3	1044
"2009-04-02"	1	1	11	2	4	21	22	0	718	5	6	9	7	3	4	9	7	1167
"2009-04-02"	1	1	11	2	4	22	14	0	2082	8	6	9	3	2	4	2	4	1248
"2009-04-02"	1	1	11	2	4	23	4	1	843	8	5	9	2	6	7	8	5	1280
"2009-04-02"	1	1	11	2	4	24	23	0	483	9	5	8	3	4	6	8	3	998
"2009-04-02"	1	1	11	2	4	25	8	0	1017	5	6	4	9	3	2	3	2	792
"2009-04-02"	1	1	11	2	4	26	28	0	600	1	5	7	6	2	8	6	2	1252
"2009-04-02"	1	1	11	2	4	27	9	1	537	4	1	5	9	8	7	1	5	1207
"2009-04-02"	1	1	11	2	4	28	30	1	914	4	1	9	8	7	2	9	8	1124
"2009-04-02"	1	1	11	2	4	29	7	1	2303	3	4	9	7	8	2	8	2	819
"2009-04-02"	1	1	11	2	4	30	1	1	912	3	6	9	2	4	1	2	4	1066
"2009-04-02"	1	1	11	2	4	31	16	1	698	4	9	7	6	3	8	9	7	1304
"2009-04-02"	1	1	11	2	4	32	15	1	985	2	5	6	7	3	4	2	5	1818
"2009-04-02"	1	1	11	2	4	33	17	1	545	5	6	4	3	8	9	3	8	1271
"2009-04-02"	1	1	11	2	4	34	3	1	704	3	8	5	6	7	4	3	8	1286
"2009-04-02"	1	1	11	2	4	35	6	0	834	8	5	3	1	2	9	2	9	1459
"2009-04-02"	1	1	11	2	4	36	20	1	473	8	9	7	5	1	6	7	5	1002
"2009-04-02"	1	1	11	2	5	1	5	1	783	2	8	6	3	9	4	8	6	1366
"2009-04-02"	1	1	11	2	5	2	5	1	961	4	7	8	5	1	6	4	7	1237
"2009-04-02"	1	1	11	2	5	3	4	0	961	6	8	1	4	2	3	2	3	965
"2009-04-02"	1	1	11	2	5	4	11	1	592	1	7	5	8	4	2	5	8	1361
"2009-04-02"	1	1	11	2	5	5	16	1	636	7	6	9	1	5	3	6	5	981
"2009-04-02"	1	1	11	2	5	6	13	0	675	5	3	4	6	1	9	6	1	907
"2009-04-02"	1	1	11	2	5	7	23	0	611	5	3	1	9	4	6	5	3	1495
"2009-04-02"	1	1	11	2	5	8	28	0	845	9	8	6	7	4	3	8	6	1345
"2009-04-02"	1	1	11	2	5	9	17	1	1114	3	7	9	2	5	6	5	6	1844
"2009-04-02"	1	1	11	2	5	10	15	0	1368	3	1	5	7	2	4	7	2	1189
"2009-04-02"	1	1	11	2	5	11	25	0	686	2	3	8	9	1	6	8	1	1074
"2009-04-02"	1	1	11	2	5	12	12	1	553	7	4	3	1	6	5	6	5	1234
"2009-04-02"	1	1	11	2	5	13	1	1	2881	4	9	2	3	5	8	9	3	1114
"2009-04-02"	1	1	11	2	5	14	28	0	603	1	2	3	7	6	5	3	7	1150
