Participant,Established,Type,strategy,Learning.Type,Category.Type,Condition
1,Y,UDL,1,0,0,CJ Observe
2,Y,CJ,4,1,0,CJ Feedback
3,N,O,9,0,0,CJ Observe
4,Y,CJ,4,1,1,II Feedback
5,Y,CJ,4,1,1,II Feedback
6,N,2D,6,0,1,II Observe
7,Y,O,9,1,0,CJ Feedback
8,Y,UDR,2,0,1,II Observe
9,Y,CJ,4,0,0,CJ Observe
10,Y,CJ,4,1,0,CJ Feedback
11,Y,2D,6,0,1,II Observe
12,Y,UDR,2,1,1,II Feedback
13,Y,UDR,2,0,0,CJ Observe
14,Y,CJ,4,1,0,CJ Feedback
15,Y,UDR,2,0,1,II Observe
16,Y,2D,6,1,1,II Feedback
17,Y,UDR,2,0,0,CJ Observe
18,Y,2D,6,1,0,CJ Feedback
19,Y,UDR,2,0,1,II Observe
20,Y,CJ,6,1,1,II Feedback
21,Y,CJ2,4,0,0,CJ Observe
22,Y,CJ,4,1,0,CJ Feedback
23,N,R,8,0,1,II Observe
24,Y,CJ,4,1,1,II Feedback
25,Y,O,9,0,0,CJ Observe
26,Y,CJ,4,1,0,CJ Feedback
27,Y,CJ,4,0,1,II Observe
28,NA,,1,1,1,II Feedback
29,Y,1D,3,0,0,CJ Observe
30,Y,CJ2,4,1,0,CJ Feedback
31,Y,UDR,2,0,1,II Observe
32,Y,CJ,4,1,1,II Feedback
33,N,UDL,1,0,0,CJ Observe
34,Y,CJ,6,1,0,CJ Feedback
35,Y,CJ,4,0,1,II Observe
36,Y,UDR,2,1,1,II Feedback
37,Y,UDR,2,0,0,CJ Observe
38,N,1D,3,0,1,II Observe
39,Y,CJ,4,1,0,CJ Feedback
40,Y,CJ,4,1,1,II Feedback
41,N,O,9,0,0,CJ Observe
42,Y,1D,3,1,0,CJ Feedback
43,Y,UDR,2,0,1,II Observe
44,Y,1D,1,1,1,II Feedback
45,Y,2D,6,0,0,CJ Observe
46,N,R,8,1,0,CJ Feedback
47,Y,2D,2,0,1,II Observe
48,Y,CJ,6,1,1,II Feedback
49,Y,1D,3,0,0,CJ Observe
50,Y,CJ2,4,1,0,CJ Feedback
51,Y,O,9,0,1,II Observe
52,Y,UDR,2,1,0,CJ Feedback
53,Y,CJ,4,1,1,II Feedback
54,N,O,9,0,0,CJ Observe
55,Y,CJ,4,0,1,II Observe
56,Y,EL,6,1,1,II Feedback
57,N,1D,3,1,0,CJ Feedback
58,Y,2D,6,0,1,II Observe
59,N,2D,6,0,1,II Observe
59,Y,CJ,4,0,1,II Observe
61,Y,2D,6,0,0,CJ Observe
62,Y,2D,6,1,1,II Feedback
63,Y,2D,6,1,1,II Feedback
64,N,UDL,1,0,1,II Observe
65,Y,UDR,2,1,1,II Feedback
66,Y,UDR,2,1,1,II Feedback
67,Y,CJ,4,0,0,CJ Feedback
68,Y,2D,6,0,1,CJ Observe
69,Y,UDR,2,1,0,II Observe
70,Y,EL,7,1,1,II Feedback
71,Y,CJ,4,0,0,CJ Observe
72,N,UDR,2,1,0,CJ Feedback
73,N,O,9,0,0,CJ Observe
74,Y,UDR,2,1,1,II Feedback
75,Y,UDR,2,0,1,II Observe
76,N,2D,6,1,0,CJ Feedback
77,Y,CJ,4,0,0,CJ Observe
78,Y,UDR,2,1,0,CJ Feedback
79,Y,CJ,4,0,0,CJ Observe
80,Y,CJ,4,1,0,CJ Feedback
