"subj"	"phase.name"	"date"	"time"	"sess"	"trial"	"stimtype"	"stim"	"trialtype"	"acc"
1	"T1"	2012-06-26	1	1	1	"A"	"C.bmp"	"L+"	1
1	"T1"	2012-06-26	1	1	2	"B"	"D.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	3	"A"	"C.bmp"	"L+"	1
1	"T1"	2012-06-26	1	1	4	"AB"	"CD.bmp"	"R+"	0
1	"T1"	2012-06-26	1	1	5	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	6	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	7	"B"	"D.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	8	"AB"	"CD.bmp"	"R+"	0
1	"T1"	2012-06-26	1	1	9	"B"	"D.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	10	"AB"	"CD.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	11	"AB"	"CD.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	12	"A"	"C.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	13	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	14	"B"	"D.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	15	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	16	"AB"	"CD.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	17	"A"	"C.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	18	"B"	"D.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	19	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	20	"A"	"C.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	21	"BA"	"DC.bmp"	"R+"	0
1	"T1"	2012-06-26	1	1	22	"A"	"C.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	23	"AB"	"CD.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	24	"AB"	"CD.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	25	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	26	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	27	"B"	"D.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	28	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	29	"A"	"C.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	30	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	31	"B"	"D.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	32	"B"	"D.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	33	"AB"	"CD.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	34	"A"	"C.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	35	"A"	"C.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	36	"B"	"D.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	37	"AB"	"CD.bmp"	"R+"	0
1	"T1"	2012-06-26	1	1	38	"B"	"D.bmp"	"L+"	1
1	"T1"	2012-06-26	1	1	39	"BA"	"DC.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	40	"AB"	"CD.bmp"	"R+"	1
1	"T1"	2012-06-26	1	1	41	"A"	"C.bmp"	"L+"	0
1	"T1"	2012-06-26	1	1	42	"BA"	"DC.bmp"	"R+"	1
