"cond"	"subj"	"yoke"	"phase"	"block"	"trial"	"s1"	"s2"	"s3"	"s4"	"s5"	"resp"	"rt"	"correct"
"single"	1	0	1	1	1	0	2	0	0	0	"A"	6.480312	"N"
"single"	1	0	1	1	2	0	2	0	0	0	"B"	1.098594	"Y"
"single"	1	0	1	1	3	0	2	0	0	0	"B"	0.9296875	"Y"
"single"	1	0	1	1	4	0	1	0	0	0	"A"	0.9309375	"Y"
"single"	1	0	1	1	5	0	1	0	0	0	"A"	0.66	"Y"
"single"	1	0	1	1	6	0	1	0	0	0	"A"	0.77	"Y"
"single"	1	0	1	1	7	0	2	0	0	0	"B"	0.9292188	"Y"
"single"	1	0	1	1	8	0	1	0	0	0	"A"	0.6504688	"Y"
"single"	1	0	1	1	9	0	2	0	0	0	"B"	0.4890625	"Y"
"single"	1	0	1	1	10	0	2	0	0	0	"B"	0.4395312	"Y"
"single"	1	0	1	1	11	0	1	0	0	0	"A"	0.5007812	"Y"
"single"	1	0	1	1	12	0	2	0	0	0	"B"	0.3803125	"Y"
"single"	1	0	1	1	13	0	1	0	0	0	"A"	0.6101562	"Y"
"single"	1	0	1	1	14	0	1	0	0	0	"A"	0.498125	"Y"
"single"	1	0	1	1	15	0	2	0	0	0	"B"	0.4882813	"Y"
"single"	1	0	1	1	16	0	2	0	0	0	"B"	0.5495312	"Y"
"single"	1	0	1	1	17	0	2	0	0	0	"B"	0.4414063	"Y"
"single"	1	0	1	1	18	0	2	0	0	0	"B"	0.4401563	"Y"
"single"	1	0	1	1	19	0	1	0	0	0	"A"	0.550625	"Y"
"single"	1	0	1	1	20	0	1	0	0	0	"A"	0.6	"Y"
"single"	1	0	1	1	21	0	1	0	0	0	"A"	0.489375	"Y"
"single"	1	0	1	1	22	0	1	0	0	0	"A"	0.4998437	"Y"
"single"	1	0	1	1	23	0	2	0	0	0	"B"	0.3285938	"Y"
"single"	1	0	1	1	24	0	2	0	0	0	"B"	0.5992187	"Y"
"single"	1	0	1	1	25	0	1	0	0	0	"A"	0.4385937	"Y"
"single"	1	0	1	1	26	0	1	0	0	0	"A"	0.5998437	"Y"
"single"	1	0	1	1	27	0	2	0	0	0	"B"	0.3309375	"Y"
"single"	1	0	1	1	28	0	1	0	0	0	"A"	0.4398437	"Y"
"single"	1	0	1	1	29	0	2	0	0	0	"B"	0.7110937	"Y"
"single"	1	0	1	1	30	0	2	0	0	0	"B"	0.5496875	"Y"
"single"	1	0	1	1	31	0	1	0	0	0	"A"	0.6584375	"Y"
"single"	1	0	1	1	32	0	1	0	0	0	"A"	0.5509375	"Y"
"single"	1	0	1	2	1	0	2	0	0	0	"B"	2.578281	"Y"
"single"	1	0	1	2	2	0	1	0	0	0	"A"	0.6089063	"Y"
"single"	1	0	1	2	3	0	2	0	0	0	"B"	0.4982812	"Y"
"single"	1	0	1	2	4	0	2	0	0	0	"B"	0.4909375	"Y"
"single"	1	0	1	2	5	0	2	0	0	0	"B"	0.4414063	"Y"
"single"	1	0	1	2	6	0	1	0	0	0	"A"	0.4409375	"Y"
"single"	1	0	1	2	7	0	1	0	0	0	"A"	0.5482813	"Y"
"single"	1	0	1	2	8	0	1	0	0	0	"A"	0.3801562	"Y"
"single"	1	0	1	2	9	0	1	0	0	0	"A"	0.3782812	"Y"
"single"	1	0	1	2	10	0	1	0	0	0	"A"	0.548125	"Y"
"single"	1	0	1	2	11	0	2	0	0	0	"B"	0.72	"Y"
"single"	1	0	1	2	12	0	1	0	0	0	"A"	2.300781	"Y"
"single"	1	0	1	2	13	0	2	0	0	0	"B"	1.59875	"Y"
"single"	1	0	1	2	14	0	2	0	0	0	"B"	0.4898438	"Y"
"single"	1	0	1	2	15	0	2	0	0	0	"B"	0.5010937	"Y"
"single"	1	0	1	2	16	0	2	0	0	0	"B"	0.4390625	"Y"
"single"	1	0	1	2	17	0	1	0	0	0	"A"	0.6103125	"Y"
"single"	1	0	1	2	18	0	2	0	0	0	"B"	0.4396875	"Y"
"single"	1	0	1	2	19	0	2	0	0	0	"B"	0.3784375	"Y"
"single"	1	0	1	2	20	0	1	0	0	0	"A"	0.4982812	"Y"
"single"	1	0	1	2	21	0	2	0	0	0	"B"	0.5984375	"Y"
"single"	1	0	1	2	22	0	1	0	0	0	"A"	1.049531	"Y"
"single"	1	0	1	2	23	0	1	0	0	0	"A"	0.5514063	"Y"
"single"	1	0	1	2	24	0	1	0	0	0	"A"	0.549375	"Y"
"single"	1	0	1	2	25	0	2	0	0	0	"B"	0.39125	"Y"
"single"	1	0	1	2	26	0	2	0	0	0	"B"	0.329375	"Y"
"single"	1	0	1	2	27	0	1	0	0	0	"A"	0.49	"Y"
"single"	1	0	1	2	28	0	2	0	0	0	"B"	0.65875	"Y"
"single"	1	0	1	2	29	0	2	0	0	0	"B"	0.55125	"Y"
"single"	1	0	1	2	30	0	1	0	0	0	"A"	0.5992187	"Y"
"single"	1	0	1	2	31	0	1	0	0	0	"A"	0.5385938	"Y"
"single"	1	0	1	2	32	0	1	0	0	0	"A"	0.4990625	"Y"
"single"	1	0	1	3	1	0	0	0	2	0	"B"	2.740625	"Y"
"single"	1	0	1	3	2	0	0	0	1	0	"B"	1.039375	"N"
"single"	1	0	1	3	3	0	0	0	2	0	"B"	1.809062	"Y"
"single"	1	0	1	3	4	0	0	0	2	0	"B"	3.571406	"Y"
"single"	1	0	1	3	5	0	0	0	2	0	"B"	0.5998437	"Y"
"single"	1	0	1	3	6	0	0	0	1	0	"A"	0.5492188	"Y"
"single"	1	0	1	3	7	0	0	0	1	0	"B"	0.6610938	"N"
"single"	1	0	1	3	8	0	0	0	1	0	"B"	0.8796875	"N"
"single"	1	0	1	3	9	0	0	0	1	0	"A"	0.7695313	"Y"
"single"	1	0	1	3	10	0	0	0	1	0	"A"	0.65875	"Y"
"single"	1	0	1	3	11	0	0	0	2	0	"B"	0.55125	"Y"
"single"	1	0	1	3	12	0	0	0	1	0	"A"	0.49	"Y"
"single"	1	0	1	3	13	0	0	0	2	0	"B"	0.49125	"Y"
"single"	1	0	1	3	14	0	0	0	2	0	"B"	0.77	"Y"
"single"	1	0	1	3	15	0	0	0	2	0	"B"	0.7692187	"Y"
"single"	1	0	1	3	16	0	0	0	2	0	"B"	0.5984375	"Y"
"single"	1	0	1	3	17	0	0	0	1	0	"A"	0.6609375	"Y"
"single"	1	0	1	3	18	0	0	0	2	0	"B"	0.6595312	"Y"
"single"	1	0	1	3	19	0	0	0	2	0	"B"	0.548125	"Y"
"single"	1	0	1	3	20	0	0	0	1	0	"A"	0.5982813	"Y"
"single"	1	0	1	3	21	0	0	0	2	0	"B"	0.549375	"Y"
"single"	1	0	1	3	22	0	0	0	1	0	"A"	0.39125	"Y"
"single"	1	0	1	3	23	0	0	0	1	0	"A"	0.659375	"Y"
"single"	1	0	1	3	24	0	0	0	1	0	"A"	0.611875	"Y"
"single"	1	0	1	3	25	0	0	0	2	0	"B"	0.66125	"Y"
"single"	1	0	1	3	26	0	0	0	2	0	"B"	0.4398437	"Y"
"single"	1	0	1	3	27	0	0	0	1	0	"A"	0.6010938	"Y"
"single"	1	0	1	3	28	0	0	0	2	0	"B"	0.6090625	"Y"
"single"	1	0	1	3	29	0	0	0	2	0	"B"	0.4884375	"Y"
"single"	1	0	1	3	30	0	0	0	1	0	"A"	0.6089063	"Y"
"single"	1	0	1	3	31	0	0	0	1	0	"A"	0.6590625	"Y"
"single"	1	0	1	3	32	0	0	0	1	0	"A"	1.101563	"Y"
"single"	1	0	1	4	1	0	0	0	2	0	"B"	4.560469	"Y"
"single"	1	0	1	4	2	0	0	0	1	0	"A"	0.648125	"Y"
"single"	1	0	1	4	3	0	0	0	2	0	"B"	0.490625	"Y"
"single"	1	0	1	4	4	0	0	0	2	0	"B"	0.6110938	"Y"
"single"	1	0	1	4	5	0	0	0	2	0	"B"	0.7690625	"Y"
"single"	1	0	1	4	6	0	0	0	1	0	"A"	0.8204687	"Y"
"single"	1	0	1	4	7	0	0	0	1	0	"B"	0.6589062	"N"
"single"	1	0	1	4	8	0	0	0	1	0	"A"	0.9414063	"Y"
"single"	1	0	1	4	9	0	0	0	1	0	"A"	0.72125	"Y"
"single"	1	0	1	4	10	0	0	0	1	0	"A"	0.758125	"Y"
"single"	1	0	1	4	11	0	0	0	2	0	"B"	0.6098437	"Y"
"single"	1	0	1	4	12	0	0	0	1	0	"A"	1.209219	"Y"
"single"	1	0	1	4	13	0	0	0	2	0	"B"	0.6601563	"Y"
"single"	1	0	1	4	14	0	0	0	2	0	"B"	0.6009375	"Y"
"single"	1	0	1	4	15	0	0	0	2	0	"A"	1.158125	"N"
"single"	1	0	1	4	16	0	0	0	2	0	"B"	1.260625	"Y"
"single"	1	0	1	4	17	0	0	0	1	0	"A"	0.6615625	"Y"
"single"	1	0	1	4	18	0	0	0	2	0	"B"	1.481562	"Y"
"single"	1	0	1	4	19	0	0	0	2	0	"B"	0.7198437	"Y"
"single"	1	0	1	4	20	0	0	0	1	0	"A"	0.7098438	"Y"
"single"	1	0	1	4	21	0	0	0	2	0	"B"	0.6598437	"Y"
"single"	1	0	1	4	22	0	0	0	1	0	"A"	0.5984375	"Y"
"single"	1	0	1	4	23	0	0	0	1	0	"A"	0.7695313	"Y"
"single"	1	0	1	4	24	0	0	0	1	0	"A"	0.8195313	"Y"
"single"	1	0	1	4	25	0	0	0	2	0	"B"	0.7101563	"Y"
"single"	1	0	1	4	26	0	0	0	2	0	"B"	0.54875	"Y"
"single"	1	0	1	4	27	0	0	0	1	0	"A"	0.820625	"Y"
"single"	1	0	1	4	28	0	0	0	2	0	"B"	0.4998437	"Y"
"single"	1	0	1	4	29	0	0	0	2	0	"B"	0.5985938	"Y"
"single"	1	0	1	4	30	0	0	0	1	0	"A"	0.5496875	"Y"
"single"	1	0	1	4	31	0	0	0	1	0	"B"	0.5998437	"N"
"single"	1	0	1	4	32	0	0	0	1	0	"A"	1.210938	"Y"
"single"	1	0	1	5	1	0	0	0	2	0	"B"	3.56875	"Y"
"single"	1	0	1	5	2	0	0	0	1	0	"A"	1.920313	"Y"
"single"	1	0	1	5	3	0	0	0	2	0	"B"	0.769375	"Y"
"single"	1	0	1	5	4	0	0	0	2	0	"B"	0.7085937	"Y"
"single"	1	0	1	5	5	0	0	0	2	0	"B"	0.5503125	"Y"
"single"	1	0	1	5	6	0	0	0	1	0	"A"	0.5504687	"Y"
"single"	1	0	1	5	7	0	0	0	1	0	"A"	1.050938	"Y"
"single"	1	0	1	5	8	0	0	0	1	0	"A"	0.9889063	"Y"
"single"	1	0	1	5	9	0	0	0	1	0	"A"	0.551875	"Y"
"single"	1	0	1	5	10	0	0	0	1	0	"A"	0.548125	"Y"
"single"	1	0	1	5	11	0	0	0	2	0	"B"	0.66	"Y"
"single"	1	0	1	5	12	0	0	0	1	0	"B"	0.5985938	"N"
"single"	1	0	1	5	13	0	0	0	2	0	"B"	1.481875	"Y"
"single"	1	0	1	5	14	0	0	0	2	0	"B"	1.100156	"Y"
"single"	1	0	1	5	15	0	0	0	2	0	"B"	0.61125	"Y"
"single"	1	0	1	5	16	0	0	0	2	0	"B"	0.990625	"Y"
"single"	1	0	1	5	17	0	0	0	1	0	"A"	0.5510938	"Y"
"single"	1	0	1	5	18	0	0	0	2	0	"B"	0.5404688	"Y"
"single"	1	0	1	5	19	0	0	0	2	0	"B"	0.6584375	"Y"
"single"	1	0	1	5	20	0	0	0	1	0	"A"	0.8801563	"Y"
"single"	1	0	1	5	21	0	0	0	2	0	"B"	0.72	"Y"
"single"	1	0	1	5	22	0	0	0	1	0	"A"	0.82	"Y"
"single"	1	0	1	5	23	0	0	0	1	0	"A"	0.6592187	"Y"
"single"	1	0	1	5	24	0	0	0	1	0	"A"	0.7217187	"Y"
"single"	1	0	1	5	25	0	0	0	2	0	"B"	0.6603125	"Y"
"single"	1	0	1	5	26	0	0	0	2	0	"B"	1.041094	"Y"
"single"	1	0	1	5	27	0	0	0	1	0	"A"	0.6582813	"Y"
"single"	1	0	1	5	28	0	0	0	2	0	"B"	0.61	"Y"
"single"	1	0	1	5	29	0	0	0	2	0	"B"	0.819375	"Y"
"single"	1	0	1	5	30	0	0	0	1	0	"A"	0.6117188	"Y"
"single"	1	0	1	5	31	0	0	0	1	0	"A"	0.6610938	"Y"
"single"	1	0	1	5	32	0	0	0	1	0	"A"	0.6610938	"Y"
"single"	1	0	1	6	1	0	0	0	2	0	"B"	5.66	"Y"
"single"	1	0	1	6	2	0	0	0	1	0	"A"	0.8310937	"Y"
"single"	1	0	1	6	3	0	0	0	2	0	"B"	0.9917188	"Y"
"single"	1	0	1	6	4	0	0	0	2	0	"B"	0.4982812	"Y"
"single"	1	0	1	6	5	0	0	0	2	0	"B"	3.569531	"Y"
"single"	1	0	1	6	6	0	0	0	1	0	"A"	0.661875	"Y"
"single"	1	0	1	6	7	0	0	0	1	0	"A"	1.41875	"Y"
"single"	1	0	1	6	8	0	0	0	1	0	"A"	0.6617187	"Y"
"single"	1	0	1	6	9	0	0	0	1	0	"A"	0.4903125	"Y"
"single"	1	0	1	6	10	0	0	0	1	0	"A"	0.9282812	"Y"
"single"	1	0	1	6	11	0	0	0	2	0	"B"	0.6495312	"Y"
"single"	1	0	1	6	12	0	0	0	1	0	"A"	1.038125	"Y"
"single"	1	0	1	6	13	0	0	0	2	0	"B"	1.431719	"Y"
"single"	1	0	1	6	14	0	0	0	2	0	"B"	0.4882813	"Y"
"single"	1	0	1	6	15	0	0	0	2	0	"B"	0.54875	"Y"
"single"	1	0	1	6	16	0	0	0	2	0	"B"	0.4889063	"Y"
"single"	1	0	1	6	17	0	0	0	1	0	"A"	0.609375	"Y"
"single"	1	0	1	6	18	0	0	0	2	0	"B"	0.48875	"Y"
"single"	1	0	1	6	19	0	0	0	2	0	"B"	0.88	"Y"
"single"	1	0	1	6	20	0	0	0	1	0	"A"	0.820625	"Y"
"single"	1	0	1	6	21	0	0	0	2	0	"B"	0.5998437	"Y"
"single"	1	0	1	6	22	0	0	0	1	0	"A"	0.9917188	"Y"
"single"	1	0	1	6	23	0	0	0	1	0	"A"	3.399062	"Y"
"single"	1	0	1	6	24	0	0	0	1	0	"A"	0.989375	"Y"
"single"	1	0	1	6	25	0	0	0	2	0	"B"	0.66125	"Y"
"single"	1	0	1	6	26	0	0	0	2	0	"B"	0.7698438	"Y"
"single"	1	0	1	6	27	0	0	0	1	0	"A"	0.8290625	"Y"
"single"	1	0	1	6	28	0	0	0	2	0	"B"	0.9896875	"Y"
"single"	1	0	1	6	29	0	0	0	2	0	"B"	0.7701563	"Y"
"single"	1	0	1	6	30	0	0	0	1	0	"A"	0.709375	"Y"
"single"	1	0	1	6	31	0	0	0	1	0	"A"	0.539375	"Y"
"single"	1	0	1	6	32	0	0	0	1	0	"A"	0.66125	"Y"
"single"	1	0	1	7	1	0	0	2	0	0	"B"	3.130156	"Y"
"single"	1	0	1	7	2	0	0	1	0	0	"A"	1.040781	"Y"
"single"	1	0	1	7	3	0	0	2	0	0	"B"	0.6604688	"Y"
"single"	1	0	1	7	4	0	0	2	0	0	"B"	0.7698438	"Y"
"single"	1	0	1	7	5	0	0	2	0	0	"B"	0.4982812	"Y"
"single"	1	0	1	7	6	0	0	1	0	0	"A"	0.5484375	"Y"
"single"	1	0	1	7	7	0	0	1	0	0	"A"	1.099531	"Y"
"single"	1	0	1	7	8	0	0	1	0	0	"A"	0.720625	"Y"
"single"	1	0	1	7	9	0	0	1	0	0	"A"	0.770625	"Y"
"single"	1	0	1	7	10	0	0	1	0	0	"A"	0.6098437	"Y"
"single"	1	0	1	7	11	0	0	2	0	0	"B"	0.5492188	"Y"
"single"	1	0	1	7	12	0	0	1	0	0	"A"	0.6610938	"Y"
"single"	1	0	1	7	13	0	0	2	0	0	"B"	0.7096875	"Y"
"single"	1	0	1	7	14	0	0	2	0	0	"B"	0.5496875	"Y"
"single"	1	0	1	7	15	0	0	2	0	0	"B"	0.5515625	"Y"
"single"	1	0	1	7	16	0	0	2	0	0	"B"	0.5995312	"Y"
"single"	1	0	1	7	17	0	0	1	0	0	"A"	0.6589062	"Y"
"single"	1	0	1	7	18	0	0	2	0	0	"B"	0.6014063	"Y"
"single"	1	0	1	7	19	0	0	2	0	0	"B"	0.599375	"Y"
"single"	1	0	1	7	20	0	0	1	0	0	"A"	0.81875	"Y"
"single"	1	0	1	7	21	0	0	2	0	0	"B"	0.551875	"Y"
"single"	1	0	1	7	22	0	0	1	0	0	"A"	0.4398437	"Y"
"single"	1	0	1	7	23	0	0	1	0	0	"A"	0.6603125	"Y"
"single"	1	0	1	7	24	0	0	1	0	0	"A"	0.5510938	"Y"
"single"	1	0	1	7	25	0	0	2	0	0	"B"	0.7090625	"Y"
"single"	1	0	1	7	26	0	0	2	0	0	"B"	0.7707813	"Y"
"single"	1	0	1	7	27	0	0	1	0	0	"A"	0.66	"Y"
"single"	1	0	1	7	28	0	0	2	0	0	"B"	0.6007813	"Y"
"single"	1	0	1	7	29	0	0	2	0	0	"B"	0.611875	"Y"
"single"	1	0	1	7	30	0	0	1	0	0	"A"	0.49125	"Y"
"single"	1	0	1	7	31	0	0	1	0	0	"A"	0.65	"Y"
"single"	1	0	1	7	32	0	0	1	0	0	"A"	0.6610938	"Y"
"single"	1	0	1	8	1	2	0	0	0	0	"B"	2.35875	"Y"
"single"	1	0	1	8	2	1	0	0	0	0	"A"	0.7589062	"Y"
"single"	1	0	1	8	3	2	0	0	0	0	"B"	0.438125	"Y"
"single"	1	0	1	8	4	2	0	0	0	0	"B"	0.929375	"Y"
"single"	1	0	1	8	5	2	0	0	0	0	"B"	0.4898438	"Y"
"single"	1	0	1	8	6	1	0	0	0	0	"A"	0.4917187	"Y"
"single"	1	0	1	8	7	1	0	0	0	0	"A"	0.6096875	"Y"
"single"	1	0	1	8	8	1	0	0	0	0	"A"	0.4982812	"Y"
"single"	1	0	1	8	9	1	0	0	0	0	"A"	0.5509375	"Y"
"single"	1	0	1	8	10	1	0	0	0	0	"A"	0.5489063	"Y"
"single"	1	0	1	8	11	2	0	0	0	0	"B"	0.3907813	"Y"
"single"	1	0	1	8	12	1	0	0	0	0	"A"	1.258906	"Y"
"single"	1	0	1	8	13	2	0	0	0	0	"B"	0.598125	"Y"
"single"	1	0	1	8	14	2	0	0	0	0	"B"	0.3892187	"Y"
"single"	1	0	1	8	15	2	0	0	0	0	"B"	0.44125	"Y"
"single"	1	0	1	8	16	2	0	0	0	0	"B"	0.5985938	"Y"
"single"	1	0	1	8	17	1	0	0	0	0	"A"	0.711875	"Y"
"single"	1	0	1	8	18	2	0	0	0	0	"B"	0.6596875	"Y"
"single"	1	0	1	8	19	2	0	0	0	0	"B"	0.5490625	"Y"
"single"	1	0	1	8	20	1	0	0	0	0	"A"	1.040938	"Y"
"single"	1	0	1	8	21	2	0	0	0	0	"B"	0.7089062	"Y"
"single"	1	0	1	8	22	1	0	0	0	0	"A"	0.880625	"Y"
"single"	1	0	1	8	23	1	0	0	0	0	"A"	0.601875	"Y"
"single"	1	0	1	8	24	1	0	0	0	0	"A"	0.93125	"Y"
"single"	1	0	1	8	25	2	0	0	0	0	"B"	0.8203125	"Y"
"single"	1	0	1	8	26	2	0	0	0	0	"B"	1.040938	"Y"
"single"	1	0	1	8	27	1	0	0	0	0	"A"	1.760625	"Y"
"single"	1	0	1	8	28	2	0	0	0	0	"B"	0.7715625	"Y"
"single"	1	0	1	8	29	2	0	0	0	0	"B"	0.4882813	"Y"
"single"	1	0	1	8	30	1	0	0	0	0	"A"	0.7109375	"Y"
"single"	1	0	1	8	31	1	0	0	0	0	"A"	0.76875	"Y"
"single"	1	0	1	8	32	1	0	0	0	0	"A"	0.721875	"Y"
"single"	1	0	1	9	1	0	0	0	0	2	"B"	3.239531	"Y"
"single"	1	0	1	9	2	0	0	0	0	1	"A"	2.58	"Y"
"single"	1	0	1	9	3	0	0	0	0	2	"B"	1.038125	"Y"
"single"	1	0	1	9	4	0	0	0	0	2	"B"	0.6617187	"Y"
"single"	1	0	1	9	5	0	0	0	0	2	"B"	0.4885938	"Y"
"single"	1	0	1	9	6	0	0	0	0	1	"A"	0.6596875	"Y"
"single"	1	0	1	9	7	0	0	0	0	1	"A"	0.4389063	"Y"
"single"	1	0	1	9	8	0	0	0	0	1	"A"	0.6015625	"Y"
"single"	1	0	1	9	9	0	0	0	0	1	"A"	0.5501562	"Y"
