cond,subj,ud,os,other
load,1002,0,8,4
load,1003,0,0,12
load,1004,12,0,0
load,1005,12,0,0
load,1006,10,0,2
load,1007,8,0,4
load,1008,5,3,4
load,1009,11,0,1
load,1010,0,3,9
load,1011,3,6,3
load,1012,11,0,1
load,1013,7,0,5
load,1014,1,1,10
load,1015,0,5,7
load,1016,10,0,2
load,1017,7,0,5
load,1018,11,0,1
load,1019,12,0,0
load,1021,10,1,1
load,1022,0,3,9
load,1023,0,5,7
noload,1,0,11,1
noload,2,11,0,1
noload,3,0,12,0
noload,4,10,2,0
noload,6,5,6,1
noload,7,0,12,0
noload,8,8,4,0
noload,9,0,12,0
noload,10,8,4,0
noload,11,0,12,0
noload,12,0,12,0
noload,14,3,6,3
noload,15,0,10,2
noload,16,0,12,0
noload,17,12,0,0
noload,18,12,0,0
noload,19,12,0,0
noload,20,0,12,0
noload,21,0,12,0
noload,22,0,12,0
noload,23,5,7,0
