"","cond","subj","phase","block","trial","stim","resp","rt","rtiti"
"1","noload",1,"prac",0,1,0,"B",1345,1169
"2","noload",1,"prac",0,2,0,"A",1100,507
"3","noload",1,"prac",0,3,0,"B",174,1316
"4","noload",1,"prac",0,4,0,"B",893,469
"5","noload",1,"prac",0,5,0,"B",713,489
"6","noload",1,"prac",0,6,0,"A",709,373
"7","noload",1,"prac",0,7,0,"A",711,407
"8","noload",1,"prac",0,8,0,"B",653,388
"9","noload",1,"prac",0,9,0,"A",623,381
"10","noload",1,"prac",0,10,0,"A",742,475
"11","noload",1,"exp",1,1,4,"A",659,776
"12","noload",1,"exp",1,2,2,"A",618,615
"13","noload",1,"exp",1,3,1,"A",523,468
"14","noload",1,"exp",1,4,8,"B",1144,736
"15","noload",1,"exp",1,5,6,"B",581,458
"16","noload",1,"exp",1,6,7,"B",572,463
"17","noload",1,"exp",1,7,3,"A",5696,762
"18","noload",1,"exp",1,8,5,"B",952,423
"19","noload",1,"exp",1,9,10,"B",752,474
"20","noload",1,"exp",1,10,9,"B",538,443
"21","noload",1,"exp",2,1,2,"A",1069,582
"22","noload",1,"exp",2,2,10,"B",811,368
"23","noload",1,"exp",2,3,5,"A",1593,535
"24","noload",1,"exp",2,4,9,"B",504,397
"25","noload",1,"exp",2,5,3,"B",926,297
"26","noload",1,"exp",2,6,8,"A",955,507
"27","noload",1,"exp",2,7,7,"B",2375,391
"28","noload",1,"exp",2,8,6,"B",949,262
"29","noload",1,"exp",2,9,4,"A",329,589
"30","noload",1,"exp",2,10,1,"A",1883,458
"31","noload",1,"exp",3,1,4,"A",393,345
"32","noload",1,"exp",3,2,1,"A",328,330
"33","noload",1,"exp",3,3,8,"B",1116,380
"34","noload",1,"exp",3,4,5,"B",1678,479
"35","noload",1,"exp",3,5,2,"A",617,277
"36","noload",1,"exp",3,6,7,"B",500,234
"37","noload",1,"exp",3,7,10,"B",1733,772
"38","noload",1,"exp",3,8,3,"A",2045,297
"39","noload",1,"exp",3,9,9,"B",648,251
"40","noload",1,"exp",3,10,6,"B",725,582
"41","noload",1,"exp",4,1,10,"B",633,313
"42","noload",1,"exp",4,2,8,"A",652,254
