"","cond","subj","phase","block","trial","stim","resp","rt"
"1","noload",10,"prac",0,1,0,"A",4794
"2","noload",10,"prac",0,2,0,"A",1101
"3","noload",10,"prac",0,3,0,"B",561
"4","noload",10,"prac",0,4,0,"A",473
"5","noload",10,"prac",0,5,0,"A",515
"6","noload",10,"prac",0,6,0,"B",716
"7","noload",10,"prac",0,7,0,"B",542
"8","noload",10,"prac",0,8,0,"B",422
"9","noload",10,"prac",0,9,0,"A",466
"10","noload",10,"prac",0,10,0,"B",413
"11","noload",10,"exp",1,1,10,"B",1218
"12","noload",10,"exp",1,2,4,"B",834
"13","noload",10,"exp",1,3,2,"A",783
"14","noload",10,"exp",1,4,8,"B",542
"15","noload",10,"exp",1,5,6,"B",677
"16","noload",10,"exp",1,6,3,"A",680
"17","noload",10,"exp",1,7,7,"B",714
"18","noload",10,"exp",1,8,1,"A",619
"19","noload",10,"exp",1,9,9,"A",448
"20","noload",10,"exp",1,10,5,"A",523
"21","noload",10,"exp",2,1,2,"A",1006
"22","noload",10,"exp",2,2,5,"A",566
"23","noload",10,"exp",2,3,9,"A",445
"24","noload",10,"exp",2,4,8,"B",441
"25","noload",10,"exp",2,5,6,"B",469
"26","noload",10,"exp",2,6,3,"A",479
"27","noload",10,"exp",2,7,1,"A",554
"28","noload",10,"exp",2,8,4,"B",385
"29","noload",10,"exp",2,9,10,"B",558
"30","noload",10,"exp",2,10,7,"B",437
"31","noload",10,"exp",3,1,4,"B",641
"32","noload",10,"exp",3,2,2,"A",454
"33","noload",10,"exp",3,3,3,"A",481
"34","noload",10,"exp",3,4,5,"A",443
"35","noload",10,"exp",3,5,8,"B",470
"36","noload",10,"exp",3,6,10,"B",545
"37","noload",10,"exp",3,7,6,"B",473
"38","noload",10,"exp",3,8,1,"A",564
"39","noload",10,"exp",3,9,9,"A",411
"40","noload",10,"exp",3,10,7,"B",440
"41","noload",10,"exp",4,1,4,"B",547
"42","noload",10,"exp",4,2,8,"B",539
"43","noload",10,"exp",4,3,10,"B",499
"44","noload",10,"exp",4,4,5,"A",508
"45","noload",10,"exp",4,5,7,"B",406
"46","noload",10,"exp",4,6,2,"A",355
"47","noload",10,"exp",4,7,1,"A",369
"48","noload",10,"exp",4,8,6,"B",415
"49","noload",10,"exp",4,9,9,"A",396
"50","noload",10,"exp",4,10,3,"A",473
"51","noload",10,"exp",5,1,6,"B",946
"52","noload",10,"exp",5,2,3,"A",620
"53","noload",10,"exp",5,3,7,"B",609
"54","noload",10,"exp",5,4,1,"A",631
"55","noload",10,"exp",5,5,10,"B",428
"56","noload",10,"exp",5,6,2,"A",519
"57","noload",10,"exp",5,7,5,"A",512
