subj,ospan,block1,block2,block3,block4,block5,block6,block7,block8
2,3,ud,os,os,os,os,os,os,os
4,4,ud,ud,ud,ud,ud,ud,ud,ud
5,5,os,os,os,os,os,os,os,os
6,3,ud,ud,ud,os,os,os,os,os
7,2,ud,ud,other,ud,ud,os,other,other
8,4,os,os,os,os,os,os,os,os
9,0,os,os,other,os,ud,ud,ud,other
10,5,os,ud,ud,ud,other,ud,ud,ud
11,5,os,os,os,os,os,os,os,os
12,0,ud,os,os,os,os,os,os,os
13,4,ud,os,os,os,os,os,os,os
14,5,ud,ud,ud,ud,ud,ud,ud,os
15,5,os,os,os,os,os,os,os,os
17,3,ud,ud,ud,ud,ud,ud,ud,ud
18,3,os,os,os,os,os,os,os,os
19,6,os,os,os,os,os,os,os,os
20,0,ud,os,os,os,os,os,os,os
21,4,ud,ud,ud,ud,ud,ud,ud,ud
22,4,ud,ud,ud,ud,ud,ud,ud,ud
23,2,ud,os,os,os,os,os,os,os
24,6,ud,ud,ud,ud,ud,ud,ud,ud
25,4,os,os,os,os,os,os,os,os
26,0,ud,ud,ud,ud,ud,ud,ud,ud
27,0,ud,os,os,os,os,os,os,os
28,2,ud,ud,other,ud,os,os,os,os
29,3,os,os,os,os,os,os,os,os
30,2,os,os,os,os,os,os,os,os
31,0,ud,os,os,os,os,os,os,os
32,2,ud,ud,ud,ud,ud,ud,ud,other
33,4,ud,ud,ud,ud,ud,ud,ud,ud
34,4,os,os,os,os,os,os,os,os
35,3,os,os,os,os,os,os,os,os
36,4,ud,os,os,os,os,os,os,os
37,0,ud,ud,other,ud,ud,ud,ud,ud
38,4,ud,ud,ud,ud,ud,ud,ud,ud
39,3,os,os,os,os,os,os,os,os
40,2,ud,ud,ud,ud,ud,ud,ud,ud
41,2,ud,ud,ud,ud,ud,ud,ud,ud
42,3,ud,ud,ud,ud,ud,ud,ud,ud
43,4,os,os,os,os,os,os,os,os
44,4,ud,ud,ud,ud,ud,ud,ud,ud
45,0,ud,ud,ud,ud,ud,ud,ud,ud
46,0,ud,ud,ud,other,ud,os,os,os
47,4,ud,ud,ud,ud,ud,ud,ud,ud
48,3,ud,ud,ud,ud,ud,ud,ud,ud
49,0,ud,other,other,ud,ud,ud,ud,ud
