subj,block,trial,stim,resp,rt
2,1,1,10,B,10074
2,1,2,4,A,4011
2,1,3,6,B,3415
2,1,4,2,B,5656
2,1,5,9,B,2373
2,1,6,1,A,1856
2,1,7,5,A,3895
2,1,8,3,A,2058
2,1,9,7,A,1450
2,1,10,8,B,2090
2,2,1,6,B,31958
2,2,2,1,A,1731
2,2,3,3,A,3328
2,2,4,4,A,2145
2,2,5,7,B,28284
2,2,6,10,B,3168
2,2,7,9,B,5524
2,2,8,2,A,4685
2,2,9,5,A,3016
2,2,10,8,B,15597
2,3,1,7,B,7004
2,3,2,1,A,4093
2,3,3,8,B,10761
2,3,4,2,A,3166
2,3,5,4,A,4643
2,3,6,9,B,5209
2,3,7,6,B,5288
2,3,8,10,B,4178
2,3,9,5,A,3613
2,3,10,3,A,3448
2,4,1,1,A,3208
2,4,2,7,B,3732
2,4,3,6,B,5974
2,4,4,9,B,4010
2,4,5,8,B,4013
2,4,6,4,A,5208
2,4,7,10,B,3684
2,4,8,2,A,2648
2,4,9,3,A,2566
2,4,10,5,A,2370
2,5,1,10,B,4169
2,5,2,1,A,3327
2,5,3,6,B,3874
2,5,4,4,A,3108
2,5,5,9,B,4965
2,5,6,3,A,4812
2,5,7,5,A,4016
2,5,8,7,B,5054
2,5,9,8,B,6966
2,5,10,2,A,6409
2,6,1,6,B,3504
2,6,2,7,B,5293
2,6,3,2,A,2973
2,6,4,9,B,5171
2,6,5,1,A,3288
2,6,6,4,A,2303
2,6,7,8,B,6129
2,6,8,10,B,3733
2,6,9,5,A,2809
2,6,10,3,A,3174
2,7,1,6,B,5648
2,7,2,7,B,3186
2,7,3,1,A,2310
2,7,4,9,B,4646
2,7,5,3,A,2856
2,7,6,10,B,3055
2,7,7,5,A,2493
2,7,8,4,A,5014
2,7,9,2,A,5962
2,7,10,8,B,6366
2,8,1,6,B,3456
2,8,2,1,A,3414
2,8,3,4,A,2888
2,8,4,9,B,3730
2,8,5,10,B,5003
2,8,6,3,A,4364
2,8,7,7,B,3016
2,8,8,8,B,4498
2,8,9,2,A,2689
2,8,10,5,B,3893
4,1,1,10,B,8202
4,1,2,3,A,3416
4,1,3,5,A,2733
4,1,4,4,A,2772
4,1,5,8,B,3184
4,1,6,9,B,3893
4,1,7,2,B,2460
4,1,8,6,B,2770
4,1,9,1,A,2025
4,1,10,7,A,1971
4,2,1,5,A,10884
4,2,2,3,A,4331
4,2,3,1,A,2489
4,2,4,2,B,2975
4,2,5,4,A,2737
4,2,6,9,B,2897
4,2,7,8,B,3301
4,2,8,10,B,3667
4,2,9,6,B,2044
4,2,10,7,A,2256
4,3,1,7,A,4248
4,3,2,10,B,1889
4,3,3,6,B,2096
4,3,4,9,B,1104
4,3,5,2,B,942
4,3,6,8,B,2371
4,3,7,1,A,2335
4,3,8,3,A,1017
4,3,9,5,A,1177
4,3,10,4,A,892
4,4,1,7,B,17277
4,4,2,6,B,4092
4,4,3,3,B,17796
4,4,4,4,A,2094
4,4,5,9,B,2570
4,4,6,5,A,1733
4,4,7,1,A,818
4,4,8,8,A,1056
4,4,9,10,B,1300
4,4,10,2,A,1378
4,5,1,2,A,3321
4,5,2,3,B,853
4,5,3,5,A,979
4,5,4,9,B,814
4,5,5,1,A,1454
4,5,6,10,B,939
4,5,7,7,B,954
4,5,8,4,A,2490
4,5,9,8,A,1020
4,5,10,6,B,1019
4,6,1,7,B,8761
4,6,2,6,B,1733
4,6,3,1,A,4210
4,6,4,3,B,9446
4,6,5,9,B,1495
4,6,6,2,A,1413
4,6,7,8,A,653
4,6,8,10,B,938
4,6,9,4,A,671
4,6,10,5,A,895
4,7,1,10,B,3613
4,7,2,3,B,10399
4,7,3,2,A,1223
4,7,4,1,A,573
4,7,5,4,A,781
4,7,6,8,A,818
4,7,7,9,B,1258
4,7,8,5,A,731
4,7,9,7,B,1653
4,7,10,6,B,1418
4,8,1,3,B,4330
4,8,2,6,B,2311
4,8,3,5,A,2574
4,8,4,4,A,781
4,8,5,1,A,737
4,8,6,7,B,1108
4,8,7,2,A,576
4,8,8,10,B,1052
4,8,9,8,A,697
4,8,10,9,B,915
5,1,1,3,A,6330
5,1,2,8,B,6451
5,1,3,7,B,11078
5,1,4,6,B,7732
5,1,5,4,A,4627
5,1,6,9,B,11956
5,1,7,1,A,4175
5,1,8,2,A,7210
5,1,9,10,B,5570
5,1,10,5,A,5687
5,2,1,9,B,8654
5,2,2,4,A,5447
5,2,3,6,B,6334
5,2,4,1,A,2849
5,2,5,5,A,8243
5,2,6,3,A,3010
5,2,7,2,A,2308
5,2,8,8,B,5367
5,2,9,7,B,3418
5,2,10,10,B,6810
5,3,1,6,B,9320
5,3,2,5,A,3136
5,3,3,10,B,8608
5,3,4,3,A,2691
5,3,5,4,A,2545
5,3,6,9,B,3971
5,3,7,8,B,4331
5,3,8,2,A,3410
5,3,9,7,B,6931
5,3,10,1,A,2378
5,4,1,10,B,9567
5,4,2,9,B,8528
5,4,3,7,B,18195
5,4,4,5,A,3092
5,4,5,8,B,7932
5,4,6,4,A,3576
5,4,7,3,A,4187
5,4,8,6,B,2179
5,4,9,2,A,2250
5,4,10,1,A,1494
5,5,1,5,A,5011
5,5,2,3,A,2898
5,5,3,2,A,1502
5,5,4,10,B,2660
5,5,5,8,B,2250
5,5,6,4,A,2929
5,5,7,1,A,3969
5,5,8,7,B,2452
5,5,9,9,B,1734
5,5,10,6,B,2055
5,6,1,5,A,5007
5,6,2,8,B,1419
5,6,3,1,A,978
5,6,4,6,B,1094
