cond,subj,ud,os,other,,other,,,cond,ud,os
neutral,10,7,1,0,,0,,,1,6,0
neutral,11,2,6,0,,0,,,1,2,4
neutral,12,8,0,0,,0,,,1,6,0
neutral,13,3,4,1,,0,,,1,2,4
neutral,14,2,6,0,,0,,,1,2,4
neutral,15,3,0,5,,4,,,1,2,0
neutral,4,8,0,0,,0,,,1,6,0
neutral,5,7,0,1,,1,,,1,5,0
neutral,6,2,6,0,,0,,,1,2,4
neutral,7,8,0,0,,0,,,1,6,0
neutral,8,8,0,0,,0,,,1,6,0
neutral,9,0,8,0,,0,,,1,0,6
neutral,16,4,4,0,,0,,,1,4,2
neutral,17,0,8,0,,0,,,1,0,6
meticulous,1001,1,7,0,,0,,,2,1,5
meticulous,1002,2,6,0,,0,,,2,1,5
meticulous,1003,4,4,0,,0,,,2,3,3
meticulous,1004,0,8,0,,0,,,2,0,6
meticulous,1005,0,8,0,,0,,,2,0,6
meticulous,1006,3,5,0,,0,,,2,3,3
meticulous,1007,4,3,1,,1,,,2,2,3
meticulous,1008,5,2,1,,0,,,2,4,2
meticulous,1009,1,6,1,,1,,,2,1,4
meticulous,1010,1,7,0,,0,,,2,0,6
meticulous,1011,0,8,0,,0,,,2,0,6
meticulous,1012,0,8,0,,0,,,2,0,6
meticulous,1013,6,2,0,,0,,,2,4,2
meticulous,1014,0,8,0,,,,,,,
