"","cond","subj","block","trial","stim","resp","rt"
"1","neutral",10,1,1,7,"A",3586
"2","neutral",10,1,2,8,"B",1618
"3","neutral",10,1,3,9,"B",1236
"4","neutral",10,1,4,5,"A",898
"5","neutral",10,1,5,10,"B",861
"6","neutral",10,1,6,1,"A",691
"7","neutral",10,1,7,2,"B",647
"8","neutral",10,1,8,3,"A",727
"9","neutral",10,1,9,6,"B",1012
"10","neutral",10,1,10,4,"A",763
"11","neutral",10,2,1,9,"B",1283
"12","neutral",10,2,2,7,"A",684
"13","neutral",10,2,3,10,"B",603
"14","neutral",10,2,4,6,"B",765
"15","neutral",10,2,5,1,"A",483
"16","neutral",10,2,6,3,"A",763
"17","neutral",10,2,7,5,"A",722
"18","neutral",10,2,8,4,"A",687
"19","neutral",10,2,9,2,"B",526
"20","neutral",10,2,10,8,"B",653
"21","neutral",10,3,1,5,"A",724
"22","neutral",10,3,2,8,"B",570
"23","neutral",10,3,3,1,"A",450
"24","neutral",10,3,4,4,"A",575
"25","neutral",10,3,5,2,"B",482
"26","neutral",10,3,6,10,"B",763
"27","neutral",10,3,7,9,"B",680
"28","neutral",10,3,8,6,"B",730
"29","neutral",10,3,9,3,"A",604
"30","neutral",10,3,10,7,"A",1004
"31","neutral",10,4,1,2,"B",807
"32","neutral",10,4,2,4,"A",531
"33","neutral",10,4,3,1,"A",564
"34","neutral",10,4,4,5,"A",604
"35","neutral",10,4,5,8,"B",488
"36","neutral",10,4,6,6,"B",448
"37","neutral",10,4,7,7,"A",564
"38","neutral",10,4,8,10,"B",484
"39","neutral",10,4,9,3,"A",485
"40","neutral",10,4,10,9,"B",698
"41","neutral",10,5,1,3,"A",689
"42","neutral",10,5,2,1,"A",612
"43","neutral",10,5,3,10,"B",522
"44","neutral",10,5,4,2,"B",527
"45","neutral",10,5,5,4,"A",563
"46","neutral",10,5,6,6,"B",482
"47","neutral",10,5,7,8,"B",484
"48","neutral",10,5,8,7,"A",525
"49","neutral",10,5,9,5,"A",579
"50","neutral",10,5,10,9,"B",605
"51","neutral",10,6,1,10,"B",801
"52","neutral",10,6,2,8,"B",564
"53","neutral",10,6,3,6,"B",484
"54","neutral",10,6,4,3,"A",486
"55","neutral",10,6,5,4,"A",527
"56","neutral",10,6,6,7,"A",453
"57","neutral",10,6,7,5,"A",372
"58","neutral",10,6,8,9,"B",462
"59","neutral",10,6,9,1,"A",369
"60","neutral",10,6,10,2,"B",488
"61","neutral",10,7,1,3,"A",688
"62","neutral",10,7,2,5,"A",530
"63","neutral",10,7,3,10,"B",406
"64","neutral",10,7,4,1,"A",528
"65","neutral",10,7,5,8,"A",364
"66","neutral",10,7,6,4,"A",525
"67","neutral",10,7,7,2,"B",500
"68","neutral",10,7,8,6,"B",651
"69","neutral",10,7,9,7,"A",526
"70","neutral",10,7,10,9,"B",583
"71","neutral",10,8,1,10,"B",1119
"72","neutral",10,8,2,2,"B",523
"73","neutral",10,8,3,8,"B",502
"74","neutral",10,8,4,7,"A",499
"75","neutral",10,8,5,1,"A",459
"76","neutral",10,8,6,5,"A",483
"77","neutral",10,8,7,3,"A",485
"78","neutral",10,8,8,9,"B",447
"79","neutral",10,8,9,4,"A",521
"80","neutral",10,8,10,6,"B",421
"81","neutral",11,1,1,9,"B",7381
"82","neutral",11,1,2,2,"A",8586
"83","neutral",11,1,3,10,"B",2749
"84","neutral",11,1,4,1,"A",1440
"85","neutral",11,1,5,3,"B",3886
"86","neutral",11,1,6,5,"A",1654
"87","neutral",11,1,7,4,"A",2214
"88","neutral",11,1,8,6,"B",1473
"89","neutral",11,1,9,8,"A",10881
"90","neutral",11,1,10,7,"B",1851
"91","neutral",11,2,1,7,"B",4129
"92","neutral",11,2,2,4,"A",2511
"93","neutral",11,2,3,1,"A",1159
"94","neutral",11,2,4,6,"B",1282
"95","neutral",11,2,5,2,"A",837
"96","neutral",11,2,6,10,"B",1831
"97","neutral",11,2,7,3,"A",1677
"98","neutral",11,2,8,5,"A",1201
"99","neutral",11,2,9,8,"A",1236
"100","neutral",11,2,10,9,"B",2464
"101","neutral",11,3,1,6,"B",2067
"102","neutral",11,3,2,1,"A",1599
"103","neutral",11,3,3,4,"A",1273
"104","neutral",11,3,4,5,"A",682
"105","neutral",11,3,5,10,"B",2741
"106","neutral",11,3,6,3,"A",10836
"107","neutral",11,3,7,9,"B",2983
"108","neutral",11,3,8,7,"B",2628
"109","neutral",11,3,9,2,"A",1157
"110","neutral",11,3,10,8,"B",7266
"111","neutral",11,4,1,6,"B",2823
"112","neutral",11,4,2,4,"A",1948
"113","neutral",11,4,3,8,"B",5640
"114","neutral",11,4,4,5,"A",3821
"115","neutral",11,4,5,7,"B",2509
"116","neutral",11,4,6,10,"B",6469
"117","neutral",11,4,7,1,"A",1874
"118","neutral",11,4,8,9,"B",1635
"119","neutral",11,4,9,3,"A",4206
"120","neutral",11,4,10,2,"A",1594
"121","neutral",11,5,1,4,"A",12381
"122","neutral",11,5,2,5,"A",1636
"123","neutral",11,5,3,10,"B",3813
"124","neutral",11,5,4,8,"B",1865
"125","neutral",11,5,5,2,"A",2511
"126","neutral",11,5,6,7,"B",2387
"127","neutral",11,5,7,1,"A",1363
"128","neutral",11,5,8,6,"B",1787
"129","neutral",11,5,9,9,"B",967
"130","neutral",11,5,10,3,"A",2665
"131","neutral",11,6,1,5,"A",3584
"132","neutral",11,6,2,10,"B",1754
"133","neutral",11,6,3,9,"B",917
"134","neutral",11,6,4,7,"B",2264
"135","neutral",11,6,5,6,"B",2031
"136","neutral",11,6,6,1,"A",845
"137","neutral",11,6,7,4,"A",927
"138","neutral",11,6,8,3,"A",2116
"139","neutral",11,6,9,8,"B",1761
"140","neutral",11,6,10,2,"A",1558
"141","neutral",11,7,1,3,"A",3736
"142","neutral",11,7,2,6,"B",1160
"143","neutral",11,7,3,4,"A",886
"144","neutral",11,7,4,8,"B",1357
"145","neutral",11,7,5,1,"A",1714
"146","neutral",11,7,6,10,"B",1519
"147","neutral",11,7,7,5,"A",1158
"148","neutral",11,7,8,7,"B",3298
"149","neutral",11,7,9,9,"B",1040
"150","neutral",11,7,10,2,"A",842
"151","neutral",11,8,1,2,"A",1597
"152","neutral",11,8,2,1,"A",726
"153","neutral",11,8,3,5,"A",1152
"154","neutral",11,8,4,7,"B",1128
"155","neutral",11,8,5,10,"B",8103
"156","neutral",11,8,6,8,"B",6350
"157","neutral",11,8,7,9,"B",1081
"158","neutral",11,8,8,6,"B",796
"159","neutral",11,8,9,4,"A",1282
"160","neutral",11,8,10,3,"A",2344
"161","neutral",12,1,1,9,"B",32513
"162","neutral",12,1,2,5,"A",14395
"163","neutral",12,1,3,6,"B",4371
"164","neutral",12,1,4,1,"A",2944
"165","neutral",12,1,5,10,"B",5327
"166","neutral",12,1,6,7,"B",7036
"167","neutral",12,1,7,3,"B",2749
"168","neutral",12,1,8,4,"A",4249
"169","neutral",12,1,9,8,"A",13364
