"cond"	"subj"	"cbal"	"sex"	"age"	"course"	"year"	"phase"	"block"	"trial"	"stim"	"rein"	"score"	"totresp"	"numlost"	"itiresp"	"resp"
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	1	1	"Y"	0	0	5	0	0	5
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	1	2	"Z"	1	8	33	1	0	28
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	2	1	"Z"	1	11	58	2	2	23
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	2	2	"Y"	0	11	59	2	1	0
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	3	1	"Z"	1	13	87	4	0	28
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	3	2	"Y"	0	13	89	4	2	0
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	4	1	"Z"	1	16	117	5	0	28
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	4	2	"Y"	0	16	119	5	2	0
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	5	1	"Z"	1	17	137	6	0	18
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	5	2	"Y"	0	16	140	7	3	0
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	1	"A"	1	6	22	1	0	22
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	2	"AB"	0	6	36	1	2	12
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	3	"A"	1	12	64	3	1	27
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	4	"C"	0	12	70	3	2	4
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	5	"B"	1	20	96	4	1	25
"NP"	1	4	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	6	"B"	1	26	122	6	1	25
