"categoryStructure","strategyType","perceptualNoise","boundaryNoise","no_ppts","prop_UD","prop_GLC","prop_CJ","prop_RND","wBIC_UD","wBIC_GLC","wBIC_CJ","wBIC_RND"
"II","UD",0,0,200,1,0,0,0,0.999990797997341,0,0,0
"II","UD",0,10,200,1,0,0,0,0.994414938354013,0,0,0
"II","UD",0,20,200,1,0,0,0,0.994014705790811,0,0,0
"II","UD",0,30,200,1,0,0,0,0.98717502190295,0,0,0
"II","UD",0,40,200,0.995,0.005,0,0,0.98619201311059,0.00246833666438172,0,0
"II","UD",0,50,200,0.98,0,0,0.02,0.932151272243981,0,0,0.0152490291160818
"II","UD",5,0,200,1,0,0,0,0.997752795041437,0,0,0
"II","UD",5,10,200,1,0,0,0,0.995339759209946,0,0,0
"II","UD",5,20,200,1,0,0,0,0.990332313784029,0,0,0
"II","UD",5,30,200,1,0,0,0,0.988498863460362,0,0,0
"II","UD",5,40,200,1,0,0,0,0.984219146026837,0,0,0
"II","UD",5,50,200,0.98,0.01,0,0.01,0.94404589698503,0.00579712363584033,0,0.00829902151870799
"II","UD",10,0,200,1,0,0,0,0.991965303193036,0,0,0
"II","UD",10,10,200,1,0,0,0,0.988297073281982,0,0,0
"II","UD",10,20,200,1,0,0,0,0.990915756552244,0,0,0
"II","UD",10,30,200,0.995,0,0.005,0,0.980423925627625,0,0.00362876201171327,0
"II","UD",10,40,200,1,0,0,0,0.982106091409662,0,0,0
"II","UD",10,50,200,0.98,0,0.005,0.015,0.935018572067441,0,0.00358840035109111,0.0111315961735885
"II","UD",15,0,200,1,0,0,0,0.990307679449337,0,0,0
"II","UD",15,10,200,0.995,0,0.005,0,0.986722475276619,0,0.00454517255074475,0
"II","UD",15,20,200,1,0,0,0,0.991060575663426,0,0,0
"II","UD",15,30,200,1,0,0,0,0.982022269324629,0,0,0
"II","UD",15,40,200,0.99,0.01,0,0,0.967262496748756,0.00781840848125158,0,0
"II","UD",15,50,200,0.975,0,0,0.025,0.92545249131983,0,0,0.0207034292351599
"II","UD",20,0,200,1,0,0,0,0.987914504701189,0,0,0
"II","UD",20,10,200,1,0,0,0,0.989918235732158,0,0,0
"II","UD",20,20,200,1,0,0,0,0.986778462448867,0,0,0
"II","UD",20,30,200,1,0,0,0,0.978939278731302,0,0,0
"II","UD",20,40,200,0.99,0,0,0.01,0.964888860864454,0,0,0.00802062856742321
"II","UD",20,50,200,0.96,0,0.005,0.035,0.902672559707058,0,0.00396491856885775,0.0282788357737782
"II","UD",25,0,200,1,0,0,0,0.988518253455328,0,0,0
"II","UD",25,10,200,1,0,0,0,0.986516580845418,0,0,0
"II","UD",25,20,200,1,0,0,0,0.985667732935487,0,0,0
"II","UD",25,30,200,1,0,0,0,0.989353125385321,0,0,0
"II","UD",25,40,200,0.99,0.005,0,0.005,0.96103993025668,0.00306353988093115,0,0.00346774824142543
"II","UD",25,50,200,0.885,0.01,0,0.105,0.833151138623545,0.00610054508277396,0,0.0751693038461382
"II","GLC",0,0,200,0,1,0,0,0,1,0,0
"II","GLC",0,10,200,0,1,0,0,0,0.999999999999969,0,0
"II","GLC",0,20,200,0,0.97,0.03,0,0,0.951739978187499,0.0266576396927022,0
