"participant","categoryStructure","strategyType","perceptualNoise","boundaryNoise","Accuracy","UDX","UDY","GLC","RND","wBIC_UDX","wBIC_UDY","wBIC_GLC","wBIC_RND"
1,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
2,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
3,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
4,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
5,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
6,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
7,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
8,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
9,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
10,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
11,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
12,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
13,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
14,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
15,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
16,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
17,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
18,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
19,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
20,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
1,"II","UD",0,10,0.7075,1,0,0,0,1,5.99495121627406e-58,2.65429748601978e-19,0
2,"II","UD",0,10,0.69,1,0,0,0,1,1.94488542065361e-54,2.92028681423973e-19,0
3,"II","UD",0,10,0.71,1,0,0,0,1,3.24166597979025e-59,9.7963838108839e-19,0
4,"II","UD",0,10,0.695,1,0,0,0,1,5.03684544554786e-56,5.47699471638415e-20,0
5,"II","UD",0,10,0.715,1,0,0,0,1,3.01462540865501e-54,4.85906134772028e-16,0
6,"II","UD",0,10,0.75,1,0,0,0,0.999999999991172,1.9936646326327e-55,8.82787436750992e-12,0
7,"II","UD",0,10,0.7375,1,0,0,0,1,4.21300233595763e-59,2.89120072583507e-16,0
8,"II","UD",0,10,0.71,1,0,0,0,1,7.83222287920066e-58,2.17370257205589e-18,0
9,"II","UD",0,10,0.6875,1,0,0,0,1,3.78871549057477e-56,1.47832045052989e-21,0
10,"II","UD",0,10,0.69,1,0,0,0,1,7.09403079087186e-62,7.15130488151284e-24,0
11,"II","UD",0,10,0.71,1,0,0,0,1,1.16902152405208e-61,8.16300186209172e-23,0
12,"II","UD",0,10,0.705,1,0,0,0,1,2.15468170139339e-61,2.33309328903953e-23,0
13,"II","UD",0,10,0.7125,1,0,0,0,1,1.460513857367e-58,6.51542951790662e-17,0
14,"II","UD",0,10,0.72,1,0,0,0,1,5.70399624079252e-58,1.55020462493634e-17,0
15,"II","UD",0,10,0.715,1,0,0,0,1,2.26732320451307e-55,3.22412188330615e-17,0
16,"II","UD",0,10,0.695,1,0,0,0,1,4.55126971170839e-58,6.14031381766576e-23,0
17,"II","UD",0,10,0.7075,1,0,0,0,1,1.519563480792e-61,4.24042894923155e-21,0
18,"II","UD",0,10,0.715,1,0,0,0,1,7.45073687429164e-62,6.54842461093054e-21,0
19,"II","UD",0,10,0.7125,1,0,0,0,1,3.15071210620134e-54,9.58292208529285e-18,0
20,"II","UD",0,10,0.695,1,0,0,0,1,2.40428419125973e-59,2.27305788006755e-23,0
1,"II","UD",0,20,0.675,1,0,0,0,0.999999446859689,1.9217006014274e-27,5.53140311156178e-07,0
2,"II","UD",0,20,0.6875,1,0,0,0,0.999991025792668,8.79893495987887e-28,8.97420733164241e-06,0
3,"II","UD",0,20,0.64,1,0,0,0,0.99999999901269,6.48837083907886e-27,9.87309863477909e-10,0
4,"II","UD",0,20,0.6675,1,0,0,0,0.999998897671304,1.06920373502452e-27,1.10232869586169e-06,0
5,"II","UD",0,20,0.6275,1,0,0,0,0.999999944804536,3.18893559543308e-21,5.51954640485169e-08,0
6,"II","UD",0,20,0.655,1,0,0,0,0.999999987219186,8.81197041511785e-27,1.27808140472442e-08,0
7,"II","UD",0,20,0.63,1,0,0,0,0.999999568785716,4.94456980370453e-23,4.31214284360806e-07,0
8,"II","UD",0,20,0.63,1,0,0,0,0.999999999889838,9.20709711976991e-24,1.10161964973574e-10,0
9,"II","UD",0,20,0.66,1,0,0,0,0.999999997967308,1.04469125053646e-30,2.03269190135232e-09,0
10,"II","UD",0,20,0.645,1,0,0,0,0.999999960995886,1.92091405512614e-25,3.90041140675368e-08,0
