"DAU","Participant","Condition","Block","SubBlock","Trial","StimulusNo","Length","Orientation","Category","Difficulty","Response","Correct","RT"
"PLY12",1001,"EasyMed",1,1,1,26,157.74,25,1,"Easy",68,0,7.7878
"PLY12",1001,"EasyMed",1,1,2,28,220.68,88.411,1,"Easy",68,0,0.32557
"PLY12",1001,"EasyMed",1,1,3,29,252.16,120.1,1,"Easy",76,1,0.50075
"PLY12",1001,"EasyMed",1,1,4,30,285,151.82,1,"Easy",76,1,0.34047
"PLY12",1001,"EasyMed",1,1,5,28,220.68,88.411,1,"Easy",76,1,0.36003
"PLY12",1001,"EasyMed",1,1,6,4,119.42,253.28,0,"Easy",68,1,0.83088
"PLY12",1001,"EasyMed",1,1,7,4,119.42,253.28,0,"Easy",68,1,0.51037
"PLY12",1001,"EasyMed",1,1,8,26,157.74,25,1,"Easy",76,1,0.34552
"PLY12",1001,"EasyMed",1,1,9,26,157.74,25,1,"Easy",76,1,0.4854
"PLY12",1001,"EasyMed",1,1,10,27,189.21,56.691,1,"Easy",76,1,0.46583
"PLY12",1001,"EasyMed",1,1,11,4,119.42,253.28,0,"Easy",68,1,0.58503
"PLY12",1001,"EasyMed",1,1,12,1,25,158.15,0,"Easy",76,0,0.9106
"PLY12",1001,"EasyMed",1,1,13,27,189.21,56.691,1,"Easy",76,1,0.7808
"PLY12",1001,"EasyMed",1,1,14,26,157.74,25,1,"Easy",76,1,0.64525
"PLY12",1001,"EasyMed",1,1,15,27,189.21,56.691,1,"Easy",76,1,0.40508
"PLY12",1001,"EasyMed",1,1,16,2,56.474,189.87,0,"Easy",68,1,0.50086
"PLY12",1001,"EasyMed",1,1,17,1,25,158.15,0,"Easy",68,1,0.55577
"PLY12",1001,"EasyMed",1,1,18,30,285,151.82,1,"Easy",76,1,0.60558
"PLY12",1001,"EasyMed",1,1,19,27,189.21,56.691,1,"Easy",76,1,0.73022
"PLY12",1001,"EasyMed",1,1,20,2,56.474,189.87,0,"Easy",68,1,0.55065
"PLY12",1001,"EasyMed",1,1,21,3,87.947,221.56,0,"Easy",68,1,0.74521
"PLY12",1001,"EasyMed",1,1,22,29,252.16,120.1,1,"Easy",76,1,0.44065
"PLY12",1001,"EasyMed",1,1,23,5,150.89,285,0,"Easy",68,1,0.62084
"PLY12",1001,"EasyMed",1,1,24,28,220.68,88.411,1,"Easy",76,1,0.5007
