"Subject","Experiment","Sex","Age","Pool","Group","Test","Running","Sample","Cue","Target","Acc","RT","Resp","Condition","Congruency"
"1","TPL3","female","60","Paid","1","Associative Recognition","PracticeStudy","1","kaross","jacket",NA,NA,NA,NA,"unmatched"
"1","TPL3","female","60","Paid","1","Associative Recognition","PracticeStudy","2","frisket","mask",NA,NA,NA,NA,"matched"
"1","TPL3","female","60","Paid","1","Associative Recognition","PracticeStudy","3","leggiadrous","elegant",NA,NA,NA,NA,"unmatched"
"1","TPL3","female","60","Paid","1","Associative Recognition","PracticeStudy","4","carcanet","necklace",NA,NA,NA,NA,"matched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","1","picaroon","cheat",NA,NA,NA,"2","unmatched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","2","surquedry","arrogance",NA,NA,NA,"2","unmatched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","3","levisomnous","observant",NA,NA,NA,"2","unmatched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","4","trammel","impede",NA,NA,NA,"1","matched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","5","gallionic","careless",NA,NA,NA,"1","matched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","6","quidnunc","gossip",NA,NA,NA,"2","unmatched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","7","insulse","boring",NA,NA,NA,"1","matched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","8","esculent","edible",NA,NA,NA,"1","matched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","9","hauberk","garment",NA,NA,NA,"1","matched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","10","conspue","despise",NA,NA,NA,"1","matched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","11","recondite","hidden",NA,NA,NA,"2","unmatched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","12","roke","mist",NA,NA,NA,"2","unmatched"
"1","TPL3","female","60","Paid","1","Associative Recognition","Study","13","subluxation","dislocation",NA,NA,NA,"2","unmatched"
