"Subject","Experiment","Sex","Age","Pool","Group","Test","Running","Condition","Cue","Target","FoilTarget","Resp","Acc","RT"
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","PracticeStudy",,"ostler","stableman",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","PracticeStudy",,"elchee","ambassador",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","PracticeStudy",,"torvous","stern",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","PracticeStudy",,"periapt","charm",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","sententious","moralising",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","immure","imprison",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","valienton","bully",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","hyaline","glassy",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","floccose","woolly",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","infandous","horrible",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","trammel","impede",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","tantivy","quick",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","opprobrium","disgrace",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","immolate","sacrifice",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","inosculate","join",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","subsecive","spare",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","picaroon","cheat",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","abjure","reject",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","stolid","unemotional",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","esculent","edible",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","mendicant","beggar",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","effulgent","shining",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","renitent","resistant",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","coriaceous","tough",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","selcouth","strange",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","conspue","despise",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","tyro","beginner",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","sejant","seated",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","inchoate","undeveloped",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","carcanet","necklace",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","roke","mist",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","unguinous","oily",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","gadoid","fish",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","esurient","hungry",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","hauberk","garment",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","perpend","consider",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","subluxation","dislocation",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","threnody","lament",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","plangent","noisy",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","encomium","tribute",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Test-Cue","subduce","withdraw",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","hispid","bristly",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","objurgate","rebuke",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","Study","Non-Test Cue","algid","chilly",,,,
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","PracticeMeaning",,"roscid","dewy",,"","0","0"
"1","TPL4 - familiar vs unfamiliar foils","female","19","Points","1","Familiar foils","PracticeMeaning",,"jollux","fat",,"multiple","0","4857"
