"DAU","Participant","Condition","Block","SubBlock","Trial","StimulusNo","Frequency","Orientation","Category","Difficulty","Response","Correct","RT"
"PLY22",22001,"EasyMed",1,1,1,30,285,151.82,1,"Easy",68,0,0.67224
"PLY22",22001,"EasyMed",1,1,2,1,25,158.15,0,"Easy",75,0,1.0004
"PLY22",22001,"EasyMed",1,1,3,29,252.16,120.1,1,"Easy",75,1,0.90559
"PLY22",22001,"EasyMed",1,1,4,2,56.474,189.87,0,"Easy",68,1,0.65676
"PLY22",22001,"EasyMed",1,1,5,27,189.21,56.691,1,"Easy",75,1,0.53033
"PLY22",22001,"EasyMed",1,1,6,29,252.16,120.1,1,"Easy",75,1,0.70559
"PLY22",22001,"EasyMed",1,1,7,28,220.68,88.411,1,"Easy",75,1,0.52581
"PLY22",22001,"EasyMed",1,1,8,26,157.74,25,1,"Easy",75,1,0.86077
"PLY22",22001,"EasyMed",1,1,9,26,157.74,25,1,"Easy",68,0,0.68027
"PLY22",22001,"EasyMed",1,1,10,5,150.89,285,0,"Easy",75,0,0.43518
"PLY22",22001,"EasyMed",1,1,11,28,220.68,88.411,1,"Easy",75,1,0.62516
"PLY22",22001,"EasyMed",1,1,12,27,189.21,56.691,1,"Easy",75,1,0.57001
"PLY22",22001,"EasyMed",1,1,13,3,87.947,221.56,0,"Easy",68,1,0.77487
"PLY22",22001,"EasyMed",1,1,14,4,119.42,253.28,0,"Easy",68,1,0.89576
"PLY22",22001,"EasyMed",1,1,15,5,150.89,285,0,"Easy",75,0,0.64535
"PLY22",22001,"EasyMed",1,1,16,4,119.42,253.28,0,"Easy",75,0,1.0213
"PLY22",22001,"EasyMed",1,1,17,1,25,158.15,0,"Easy",68,1,0.62018
"PLY22",22001,"EasyMed",1,1,18,27,189.21,56.691,1,"Easy",75,1,0.63081
"PLY22",22001,"EasyMed",1,1,19,26,157.74,25,1,"Easy",75,1,0.53564
"PLY22",22001,"EasyMed",1,1,20,5,150.89,285,0,"Easy",75,0,0.44492
"PLY22",22001,"EasyMed",1,1,21,3,87.947,221.56,0,"Easy",68,1,0.76528
"PLY22",22001,"EasyMed",1,1,22,4,119.42,253.28,0,"Easy",68,1,0.64039
"PLY22",22001,"EasyMed",1,1,23,4,119.42,253.28,0,"Easy",68,1,0.53068
"PLY22",22001,"EasyMed",1,1,24,3,87.947,221.56,0,"Easy",68,1,0.39016
"PLY22",22001,"EasyMed",1,1,25,26,157.74,25,1,"Easy",68,0,0.83611
"PLY22",22001,"EasyMed",1,1,26,28,220.68,88.411,1,"Easy",75,1,0.65053
"PLY22",22001,"EasyMed",1,1,27,27,189.21,56.691,1,"Easy",75,1,0.59049
"PLY22",22001,"EasyMed",1,1,28,30,285,151.82,1,"Easy",75,1,0.67568
"PLY22",22001,"EasyMed",1,1,29,3,87.947,221.56,0,"Easy",68,1,1.45
"PLY22",22001,"EasyMed",1,1,30,27,189.21,56.691,1,"Easy",75,1,1.2653
"PLY22",22001,"EasyMed",1,2,31,29,252.16,120.1,1,"Easy",75,1,0.72086
"PLY22",22001,"EasyMed",1,2,32,28,220.68,88.411,1,"Easy",75,1,0.58071
"PLY22",22001,"EasyMed",1,2,33,26,157.74,25,1,"Easy",68,0,1.1206
"PLY22",22001,"EasyMed",1,2,34,27,189.21,56.691,1,"Easy",75,1,1.7706
"PLY22",22001,"EasyMed",1,2,35,29,252.16,120.1,1,"Easy",75,1,0.50119
"PLY22",22001,"EasyMed",1,2,36,2,56.474,189.87,0,"Easy",68,1,0.45553
"PLY22",22001,"EasyMed",1,2,37,30,285,151.82,1,"Easy",75,1,0.95012
"PLY22",22001,"EasyMed",1,2,38,28,220.68,88.411,1,"Easy",75,1,1.0254
"PLY22",22001,"EasyMed",1,2,39,30,285,151.82,1,"Easy",75,1,0.54553
"PLY22",22001,"EasyMed",1,2,40,3,87.947,221.56,0,"Easy",68,1,0.69079
"PLY22",22001,"EasyMed",1,2,41,1,25,158.15,0,"Easy",68,1,0.48569
"PLY22",22001,"EasyMed",1,2,42,3,87.947,221.56,0,"Easy",68,1,0.64082
"PLY22",22001,"EasyMed",1,2,43,4,119.42,253.28,0,"Easy",68,1,0.54513
"PLY22",22001,"EasyMed",1,2,44,26,157.74,25,1,"Easy",68,0,0.73061
"PLY22",22001,"EasyMed",1,2,45,4,119.42,253.28,0,"Easy",68,1,0.9604
"PLY22",22001,"EasyMed",1,2,46,30,285,151.82,1,"Easy",75,1,0.43544
"PLY22",22001,"EasyMed",1,2,47,2,56.474,189.87,0,"Easy",68,1,0.43522
"PLY22",22001,"EasyMed",1,2,48,26,157.74,25,1,"Easy",68,0,0.72061
"PLY22",22001,"EasyMed",1,2,49,28,220.68,88.411,1,"Easy",75,1,1.1549
"PLY22",22001,"EasyMed",1,2,50,30,285,151.82,1,"Easy",75,1,0.54039
"PLY22",22001,"EasyMed",1,2,51,5,150.89,285,0,"Easy",68,1,0.72062
"PLY22",22001,"EasyMed",1,2,52,29,252.16,120.1,1,"Easy",75,1,1.0059
