DAU,Participant,Condition,Block,SubBlock,Trial,StimulusNo,Length,Orientation,Category,Difficulty,Response,Correct,RT
PLY42,42102,EasyAll,1,1,1,3,87.947,221.56,0,Easy,90,1,2502.8
PLY42,42102,EasyAll,1,1,2,2,56.474,189.87,0,Easy,90,1,3425.1
PLY42,42102,EasyAll,1,1,3,29,252.16,120.1,1,Easy,90,0,1260.5
PLY42,42102,EasyAll,1,1,4,1,25,158.15,0,Easy,191,0,780.26
PLY42,42102,EasyAll,1,1,5,30,285,151.82,1,Easy,90,0,835.2
PLY42,42102,EasyAll,1,1,6,29,252.16,120.1,1,Easy,191,1,455
PLY42,42102,EasyAll,1,1,7,29,252.16,120.1,1,Easy,191,1,950.2
PLY42,42102,EasyAll,1,1,8,4,119.42,253.28,0,Easy,90,1,1790.5
PLY42,42102,EasyAll,1,1,9,1,25,158.15,0,Easy,90,1,1191.4
PLY42,42102,EasyAll,1,1,10,3,87.947,221.56,0,Easy,90,1,1435.3
PLY42,42102,EasyAll,1,1,11,28,220.68,88.411,1,Easy,191,1,735.2
PLY42,42102,EasyAll,1,1,12,2,56.474,189.87,0,Easy,90,1,480
PLY42,42102,EasyAll,1,1,13,29,252.16,120.1,1,Easy,191,1,450.92
PLY42,42102,EasyAll,1,1,14,1,25,158.15,0,Easy,90,1,416.13
PLY42,42102,EasyAll,1,1,15,26,157.74,25,1,Easy,191,1,565.57
PLY42,42102,EasyAll,1,1,16,1,25,158.15,0,Easy,90,1,436.21
PLY42,42102,EasyAll,1,1,17,3,87.947,221.56,0,Easy,90,1,1081.1
PLY42,42102,EasyAll,1,1,18,4,119.42,253.28,0,Easy,90,1,1320.9
PLY42,42102,EasyAll,1,1,19,26,157.74,25,1,Easy,191,1,626.21
PLY42,42102,EasyAll,1,1,20,4,119.42,253.28,0,Easy,191,0,1230.3
PLY42,42102,EasyAll,1,1,21,5,150.89,285,0,Easy,191,0,1901.3
PLY42,42102,EasyAll,1,1,22,26,157.74,25,1,Easy,191,1,430.54
PLY42,42102,EasyAll,1,1,23,5,150.89,285,0,Easy,90,1,1210.4
PLY42,42102,EasyAll,1,1,24,29,252.16,120.1,1,Easy,191,1,530.92
PLY42,42102,EasyAll,1,1,25,2,56.474,189.87,0,Easy,90,1,495.74
PLY42,42102,EasyAll,1,1,26,29,252.16,120.1,1,Easy,191,1,1786
PLY42,42102,EasyAll,1,1,27,4,119.42,253.28,0,Easy,90,1,1061
PLY42,42102,EasyAll,1,1,28,2,56.474,189.87,0,Easy,90,1,375.43
PLY42,42102,EasyAll,1,1,29,5,150.89,285,0,Easy,90,1,805.35
PLY42,42102,EasyAll,1,1,30,4,119.42,253.28,0,Easy,90,1,480.53
PLY42,42102,EasyAll,1,1,31,30,285,151.82,1,Easy,191,1,415.45
PLY42,42102,EasyAll,1,1,32,30,285,151.82,1,Easy,191,1,250
PLY42,42102,EasyAll,1,1,33,28,220.68,88.411,1,Easy,191,1,425.95
PLY42,42102,EasyAll,1,1,34,29,252.16,120.1,1,Easy,191,1,421.09
PLY42,42102,EasyAll,1,1,35,30,285,151.82,1,Easy,191,1,335.44
PLY42,42102,EasyAll,1,1,36,28,220.68,88.411,1,Easy,191,1,355.28
PLY42,42102,EasyAll,1,1,37,2,56.474,189.87,0,Easy,90,1,360.46
PLY42,42102,EasyAll,1,1,38,5,150.89,285,0,Easy,90,1,815.97
PLY42,42102,EasyAll,1,1,39,27,189.21,56.691,1,Easy,191,1,420.51
PLY42,42102,EasyAll,1,1,40,28,220.68,88.411,1,Easy,191,1,410.13
PLY42,42102,EasyAll,1,1,41,27,189.21,56.691,1,Easy,191,1,320.58
PLY42,42102,EasyAll,1,1,42,27,189.21,56.691,1,Easy,191,1,355.05
PLY42,42102,EasyAll,1,1,43,2,56.474,189.87,0,Easy,90,1,425.27
PLY42,42102,EasyAll,1,1,44,30,285,151.82,1,Easy,191,1,886.15
PLY42,42102,EasyAll,1,1,45,29,252.16,120.1,1,Easy,191,1,216
PLY42,42102,EasyAll,1,1,46,1,25,158.15,0,Easy,90,1,335.54
PLY42,42102,EasyAll,1,1,47,30,285,151.82,1,Easy,191,1,185.3
PLY42,42102,EasyAll,1,1,48,5,150.89,285,0,Easy,90,1,725.21
PLY42,42102,EasyAll,1,1,49,4,119.42,253.28,0,Easy,90,1,455.03
PLY42,42102,EasyAll,1,1,50,4,119.42,253.28,0,Easy,90,1,265.23
PLY42,42102,EasyAll,1,2,51,30,285,151.82,1,Easy,191,1,335.75
PLY42,42102,EasyAll,1,2,52,27,189.21,56.691,1,Easy,191,1,300.55
PLY42,42102,EasyAll,1,2,53,3,87.947,221.56,0,Easy,90,1,560.77
PLY42,42102,EasyAll,1,2,54,4,119.42,253.28,0,Easy,90,1,290.3
PLY42,42102,EasyAll,1,2,55,26,157.74,25,1,Easy,90,0,796.19
PLY42,42102,EasyAll,1,2,56,28,220.68,88.411,1,Easy,191,1,375.3
PLY42,42102,EasyAll,1,2,57,28,220.68,88.411,1,Easy,191,1,350.2
PLY42,42102,EasyAll,1,2,58,29,252.16,120.1,1,Easy,191,1,305.32
