Participant,Condition,CERE,GW,Agreed,CEREyes,GWyes,AgreedYes,simpStrat
42102,1,RuleX,SUR,RuleX,1,1,1,Complex
42104,1,UDL,UDL,UDL,1,1,1,UD
42105,1,CJ2,CJ2,CJ2,1,1,1,Complex
42106,1,UDL,UDL,UDL,1,1,1,UD
42107,1,SUR,SUR,SUR,1,1,1,Complex
42108,1,CJ2,CJ2,CJ2,1,1,1,Complex
42109,1,CJ2,RuleX,CJ2,1,1,1,Complex
42110,1,CJ2,CJ2,CJ2,1,1,1,Complex
42111,1,2D,2D,2D,1,1,1,2D
42112,1,UDL,UDL,UDL,1,1,1,UD
42113,1,CJ,CJ,CJ,1,1,1,CJ
42114,1,CJ2,CJ2,CJ2,1,1,1,Complex
42115,1,CJ,CJ,CJ,1,1,1,CJ
42116,1,CJ,SUR,CJ,1,1,1,CJ
42117,1,CJ2,CJ2,CJ2,1,1,1,Complex
42118,1,NA,NA,NA,0,0,0,NA
42119,1,UDO,UDO,UDO,1,1,1,UD
42120,1,NA,CJ,2D,0,1,1,2D
42201,2,CJ2,CJ2,CJ2,1,1,1,Complex
42202,2,SUR,SUR,SUR,1,1,1,Complex
42203,2,UDL,UDL,UDL,1,1,1,UD
42204,2,CJ2,CJ2,CJ2,1,1,1,Complex
42205,2,CJ2,CJ2,CJ2,1,1,1,Complex
42206,2,CJ2,CJ2,CJ2,1,1,1,Complex
42207,2,CJ,CJ,CJ,1,1,1,CJ
42208,2,2D,2D,2D,1,1,1,2D
42209,2,SUR,SUR,SUR,1,1,1,Complex
42301,3,CJ2,CJ2,CJ2,1,1,1,Complex
42302,3,2D,CJ,2D,1,1,1,2D
42303,3,CJ2,CJ2,CJ2,1,1,1,Complex
42304,3,CJ2,SUR,CJ2,1,1,1,Complex
42305,3,CJ2,CJ2,CJ2,1,1,1,Complex
42306,3,SUR,SUR,SUR,1,1,1,Complex
42307,3,CJ,CJ,CJ,1,1,1,CJ
42308,3,CJ,SUR,CJ,1,1,1,CJ
42309,3,CJ,CJ2,CJ2,1,1,1,Complex
42310,3,SUR,CJ,SUR,1,1,1,Complex
42311,3,CJ,CJ,CJ,1,1,1,CJ
42312,3,CJ,CJ,CJ,1,1,1,CJ
42313,3,CJ2,CJ2,CJ2,1,1,1,Complex
42314,3,CJ,CJ,CJ,1,1,1,CJ
42315,3,CJ,CJ,CJ,1,1,1,CJ
42316,3,CJ,CJ,CJ,1,1,1,CJ
42317,3,CJ,CJ,CJ,1,1,1,CJ
42318,3,CJ,CJ,CJ,1,1,1,CJ
42319,3,CJ2,CJ2,CJ2,1,1,1,Complex
42320,3,CJ2,CJ2,CJ2,1,1,1,Complex
