DAU,Participant,Condition,Block,Trial,StimulusNo,Xvalue,Yvalue,Difficulty,Category,CorrectButton,Response,Correct,RT
PLY75,101,EasyHard,1,1,2,0.033,67.07,Easy,A,c,c,1,1969
PLY75,101,EasyHard,1,2,28,0.153,31.95,Easy,B,m,c,0,2849
PLY75,101,EasyHard,1,3,3,0.056,78.04,Easy,A,c,m,0,2543
PLY75,101,EasyHard,1,4,30,0.2,53.9,Easy,B,m,c,0,3049
PLY75,101,EasyHard,1,5,5,0.102,100,Easy,A,c,c,1,7231
PLY75,101,EasyHard,1,6,26,0.107,10,Easy,B,m,m,1,2335
PLY75,101,EasyHard,1,7,27,0.13,20.97,Easy,B,m,c,0,2354
PLY75,101,EasyHard,1,8,2,0.033,67.07,Easy,A,c,m,0,2099
PLY75,101,EasyHard,1,9,2,0.033,67.07,Easy,A,c,m,0,1103
PLY75,101,EasyHard,1,10,4,0.079,89.02,Easy,A,c,c,1,1779
PLY75,101,EasyHard,1,11,3,0.056,78.04,Easy,A,c,c,1,3291
PLY75,101,EasyHard,1,12,30,0.2,53.9,Easy,B,m,m,1,1272
PLY75,101,EasyHard,1,13,4,0.079,89.02,Easy,A,c,c,1,2115
PLY75,101,EasyHard,1,14,30,0.2,53.9,Easy,B,m,m,1,1213
PLY75,101,EasyHard,1,15,1,0.01,56.09,Easy,A,c,m,0,1149
PLY75,101,EasyHard,1,16,28,0.153,31.95,Easy,B,m,m,1,1342
PLY75,101,EasyHard,1,17,29,0.176,42.92,Easy,B,m,m,1,1384
PLY75,101,EasyHard,1,18,27,0.13,20.97,Easy,B,m,m,1,1791
PLY75,101,EasyHard,1,19,3,0.056,78.04,Easy,A,c,c,1,1303
PLY75,101,EasyHard,1,20,26,0.107,10,Easy,B,m,c,0,963
PLY75,101,EasyHard,1,21,1,0.01,56.09,Easy,A,c,m,0,956
PLY75,101,EasyHard,1,22,5,0.102,100,Easy,A,c,c,1,2517
PLY75,101,EasyHard,1,23,2,0.033,67.07,Easy,A,c,m,0,1360
PLY75,101,EasyHard,1,24,2,0.033,67.07,Easy,A,c,c,1,841
PLY75,101,EasyHard,1,25,27,0.13,20.97,Easy,B,m,m,1,839
PLY75,101,EasyHard,1,26,4,0.079,89.02,Easy,A,c,c,1,917
PLY75,101,EasyHard,1,27,5,0.102,100,Easy,A,c,c,1,1456
PLY75,101,EasyHard,1,28,3,0.056,78.04,Easy,A,c,m,0,757
PLY75,101,EasyHard,1,29,5,0.102,100,Easy,A,c,c,1,2182
PLY75,101,EasyHard,1,30,4,0.079,89.02,Easy,A,c,m,0,1247
PLY75,101,EasyHard,1,31,3,0.056,78.04,Easy,A,c,c,1,1133
PLY75,101,EasyHard,1,32,2,0.033,67.07,Easy,A,c,m,0,1007
PLY75,101,EasyHard,1,33,29,0.176,42.92,Easy,B,m,m,1,998
PLY75,101,EasyHard,1,34,26,0.107,10,Easy,B,m,c,0,990
PLY75,101,EasyHard,1,35,1,0.01,56.09,Easy,A,c,c,1,1302
PLY75,101,EasyHard,1,36,5,0.102,100,Easy,A,c,c,1,3520
PLY75,101,EasyHard,1,37,26,0.107,10,Easy,B,m,m,1,3491
