"cond"	"subj"	"phase"	"blk"	"trial"	"stim"	"resp"	"rt"
1	4005	0	0	0	0	0	0
1	4005	1	1	1	12	0	0
1	4005	1	1	2	13	0	0
1	4005	1	1	3	29	0	0
1	4005	1	1	4	6	0	0
1	4005	1	1	5	19	0	0
1	4005	1	1	6	45	2	1752
1	4005	1	1	7	34	1	900
1	4005	1	1	8	39	3	1649
1	4005	0	0	0	0	0	0
1	4005	1	2	1	20	0	0
1	4005	1	2	2	14	2	1813
1	4005	1	2	3	30	0	0
1	4005	1	2	4	11	0	0
1	4005	1	2	5	44	0	0
1	4005	1	2	6	37	0	0
1	4005	1	2	7	2	2	1219
1	4005	1	2	8	36	3	1568
1	4005	0	0	0	0	0	0
1	4005	1	3	1	26	2	823
1	4005	1	3	2	33	1	937
1	4005	1	3	3	42	3	1371
1	4005	1	3	4	22	2	973
1	4005	1	3	5	43	0	0
1	4005	1	3	6	4	2	1730
1	4005	1	3	7	7	0	0
1	4005	1	3	8	15	0	0
1	4005	0	0	0	0	0	0
1	4005	1	4	1	46	0	0
1	4005	1	4	2	3	0	0
1	4005	1	4	3	21	0	0
1	4005	1	4	4	25	0	0
1	4005	1	4	5	9	0	0
1	4005	1	4	6	38	0	0
1	4005	1	4	7	35	0	0
1	4005	1	4	8	16	0	0
1	4005	0	0	0	0	0	0
1	4005	1	5	1	40	0	0
1	4005	1	5	2	10	0	0
1	4005	1	5	3	18	3	1418
1	4005	1	5	4	24	0	0
1	4005	1	5	5	48	0	0
1	4005	1	5	6	1	0	0
1	4005	1	5	7	31	0	0
1	4005	1	5	8	28	0	0
1	4005	0	0	0	0	0	0
1	4005	1	6	1	32	1	1009
1	4005	1	6	2	27	0	0
1	4005	1	6	3	23	0	0
1	4005	1	6	4	47	0	0
1	4005	1	6	5	5	0	0
1	4005	1	6	6	8	0	0
1	4005	1	6	7	17	0	0
1	4005	1	6	8	41	0	0
1	4005	0	0	0	0	0	0
1	4005	1	7	1	20	0	0
