"stim.number"	"cb1"	"cb2:D4"	"cb3:R1D3"	"cb4:R1D2"	"cb5:R2D34"	"cb6:R2D234"	"cb7:R3d24"	"cb8:R3D23"
"1"	"1111"	"1110"	"1101"	"1011"	"1100"	"1000"	"1010"	"1001"
"2"	"1110"	"1111"	"1111"	"1001"	"1000"	"1100"	"0010"	"0001"
"3"	"1101"	"1100"	"1001"	"1111"	"0100"	"0000"	"1011"	"1000"
"4"	"1011"	"1010"	"0101"	"0011"	"1101"	"1001"	"1000"	"1011"
"5"	"0000"	"0001"	"0010"	"0100"	"0011"	"0111"	"0101"	"0110"
"6"	"0001"	"0000"	"0000"	"0110"	"0111"	"0011"	"1101"	"1110"
"7"	"0010"	"0011"	"0110"	"0000"	"1011"	"1111"	"0100"	"0111"
"8"	"0100"	"0101"	"1010"	"1100"	"0010"	"0110"	"0111"	"0100"
"9"	"0111"	"0110"	"1100"	"1010"	"1110"	"1010"	"1110"	"1101"
"10"	"1000"	"1001"	"0011"	"0101"	"0001"	"0101"	"0001"	"0010"
"11"	"0011"	"0010"	"0100"	"0010"	"1111"	"1011"	"1100"	"1111"
"12"	"1100"	"1101"	"1011"	"1101"	"0000"	"0100"	"0011"	"0000"
"13"	"0101"	"0100"	"1000"	"1110"	"0110"	"0010"	"1111"	"1100"
"14"	"1010"	"1011"	"0111"	"0001"	"1001"	"1101"	"0000"	"0011"
"15"	"0110"	"0111"	"1110"	"1000"	"1010"	"1110"	"0110"	"0101"
"16"	"1001"	"1000"	"0001"	"0111"	"0101"	"0001"	"1001"	"1010"
