subj	cond	cb	keyb	phase	blk	trial	stim	resp	rt	conf	confrt
7101	1	1	1	1	1	1	7	0	4142	0	0
7101	1	1	1	1	1	2	2	0	2470	0	0
7101	1	1	1	1	1	3	5	1	1127	0	0
7101	1	1	1	1	1	4	4	1	521	0	0
7101	1	1	1	1	1	5	3	1	2294	0	0
7101	1	1	1	1	1	6	6	1	982	0	0
7101	1	1	1	1	1	7	8	1	742	0	0
7101	1	1	1	1	1	8	1	1	829	0	0
7101	1	1	1	1	2	9	2	1	1106	0	0
7101	1	1	1	1	2	10	1	0	549	0	0
7101	1	1	1	1	2	11	5	0	1081	0	0
7101	1	1	1	1	2	12	7	0	1078	0	0
7101	1	1	1	1	2	13	4	1	363	0	0
7101	1	1	1	1	2	14	8	1	670	0	0
7101	1	1	1	1	2	15	6	0	245	0	0
7101	1	1	1	1	2	16	3	1	261	0	0
7101	1	1	1	1	3	17	2	0	1445	0	0
7101	1	1	1	1	3	18	8	1	410	0	0
7101	1	1	1	1	3	19	3	1	308	0	0
7101	1	1	1	1	3	20	6	1	522	0	0
7101	1	1	1	1	3	21	7	1	670	0	0
7101	1	1	1	1	3	22	1	1	557	0	0
7101	1	1	1	1	3	23	4	1	560	0	0
7101	1	1	1	1	3	24	5	1	539	0	0
7101	1	1	1	2	1	1	6	0	867	0	0
7101	1	1	1	2	1	2	13	0	586	0	0
7101	1	1	1	2	1	3	11	0	517	0	0
7101	1	1	1	2	1	4	8	0	635	0	0
7101	1	1	1	2	1	5	4	1	508	0	0
7101	1	1	1	2	1	6	1	1	291	0	0
7101	1	1	1	2	1	7	7	0	323	0	0
7101	1	1	1	2	1	8	3	1	313	0	0
7101	1	1	1	2	1	9	12	1	255	0	0
7101	1	1	1	2	1	10	10	1	665	0	0
7101	1	1	1	2	1	11	2	1	392	0	0
7101	1	1	1	2	1	12	5	0	292	0	0
7101	1	1	1	2	1	13	14	1	300	0	0
7101	1	1	1	2	1	14	16	1	235	0	0
7101	1	1	1	2	1	15	15	0	309	0	0
7101	1	1	1	2	1	16	9	0	261	0	0
7101	1	1	1	2	2	17	12	1	254	0	0
7101	1	1	1	2	2	18	6	0	295	0	0
7101	1	1	1	2	2	19	2	1	505	0	0
7101	1	1	1	2	2	20	11	0	278	0	0
7101	1	1	1	2	2	21	13	0	422	0	0
7101	1	1	1	2	2	22	10	1	384	0	0
7101	1	1	1	2	2	23	1	1	300	0	0
7101	1	1	1	2	2	24	5	0	290	0	0
7101	1	1	1	2	2	25	16	1	402	0	0
7101	1	1	1	2	2	26	3	1	277	0	0
7101	1	1	1	2	2	27	8	0	398	0	0
7101	1	1	1	2	2	28	14	1	273	0	0
7101	1	1	1	2	2	29	15	0	153	0	0
7101	1	1	1	2	2	30	9	0	303	0	0
7101	1	1	1	2	2	31	7	0	838	0	0
7101	1	1	1	2	2	32	4	1	287	0	0
7101	1	1	1	2	3	33	2	1	687	0	0
7101	1	1	1	2	3	34	16	1	269	0	0
7101	1	1	1	2	3	35	9	0	502	0	0
7101	1	1	1	2	3	36	13	0	1965	0	0
7101	1	1	1	2	3	37	15	0	4572	0	0
7101	1	1	1	2	3	38	8	0	380	0	0
7101	1	1	1	2	3	39	4	1	312	0	0
7101	1	1	1	2	3	40	10	1	271	0	0
7101	1	1	1	2	3	41	6	0	328	0	0
7101	1	1	1	2	3	42	5	0	270	0	0
7101	1	1	1	2	3	43	12	1	295	0	0
7101	1	1	1	2	3	44	11	0	327	0	0
7101	1	1	1	2	3	45	1	1	446	0	0
7101	1	1	1	2	3	46	3	1	367	0	0
7101	1	1	1	2	3	47	14	1	467	0	0
7101	1	1	1	2	3	48	7	0	363	0	0
7101	1	1	1	2	4	49	5	0	305	0	0
7101	1	1	1	2	4	50	14	1	488	0	0
7101	1	1	1	2	4	51	13	0	550	0	0
7101	1	1	1	2	4	52	1	1	267	0	0
7101	1	1	1	2	4	53	7	0	314	0	0
7101	1	1	1	2	4	54	9	0	296	0	0
7101	1	1	1	2	4	55	10	1	306	0	0
7101	1	1	1	2	4	56	15	0	281	0	0
7101	1	1	1	2	4	57	6	0	457	0	0
7101	1	1	1	2	4	58	12	1	266	0	0
7101	1	1	1	2	4	59	4	1	994	0	0
7101	1	1	1	2	4	60	11	0	356	0	0
7101	1	1	1	2	4	61	2	1	297	0	0
7101	1	1	1	2	4	62	16	1	328	0	0
7101	1	1	1	2	4	63	8	0	327	0	0
7101	1	1	1	2	4	64	3	1	325	0	0
7101	1	1	1	2	5	65	4	1	323	0	0
7101	1	1	1	2	5	66	1	1	322	0	0
7101	1	1	1	2	5	67	11	0	240	0	0
7101	1	1	1	2	5	68	10	1	274	0	0
7101	1	1	1	2	5	69	8	0	283	0	0
7101	1	1	1	2	5	70	3	1	275	0	0
7101	1	1	1	2	5	71	16	1	355	0	0
7101	1	1	1	2	5	72	2	1	800	0	0
7101	1	1	1	2	5	73	15	0	330	0	0
7101	1	1	1	2	5	74	9	0	312	0	0
7101	1	1	1	2	5	75	6	0	1111	0	0
7101	1	1	1	2	5	76	12	1	340	0	0
7101	1	1	1	2	5	77	5	0	290	0	0
7101	1	1	1	2	5	78	13	0	369	0	0
7101	1	1	1	2	5	79	14	1	325	0	0
7101	1	1	1	2	5	80	7	0	348	0	0
7101	1	1	1	2	6	81	13	0	257	0	0
7101	1	1	1	2	6	82	3	1	274	0	0
7101	1	1	1	2	6	83	14	1	307	0	0
7101	1	1	1	2	6	84	16	1	258	0	0
7101	1	1	1	2	6	85	4	1	979	0	0
7101	1	1	1	2	6	86	11	0	478	0	0
7101	1	1	1	2	6	87	1	1	542	0	0
7101	1	1	1	2	6	88	2	1	331	0	0
7101	1	1	1	2	6	89	10	1	897	0	0
7101	1	1	1	2	6	90	6	0	391	0	0
7101	1	1	1	2	6	91	5	0	443	0	0
7101	1	1	1	2	6	92	12	1	323	0	0
7101	1	1	1	2	6	93	7	0	282	0	0
7101	1	1	1	2	6	94	9	0	346	0	0
7101	1	1	1	2	6	95	15	0	288	0	0
7101	1	1	1	2	6	96	8	0	487	0	0
7101	1	1	1	2	7	97	9	0	407	0	0
7101	1	1	1	2	7	98	8	0	314	0	0
7101	1	1	1	2	7	99	6	0	248	0	0
7101	1	1	1	2	7	100	2	1	242	0	0
7101	1	1	1	2	7	101	14	1	404	0	0
7101	1	1	1	2	7	102	10	1	263	0	0
7101	1	1	1	2	7	103	12	1	1455	0	0
7101	1	1	1	2	7	104	7	0	301	0	0
7101	1	1	1	2	7	105	16	1	468	0	0
7101	1	1	1	2	7	106	11	0	227	0	0
7101	1	1	1	2	7	107	13	0	358	0	0
7101	1	1	1	2	7	108	5	0	475	0	0
7101	1	1	1	2	7	109	1	1	283	0	0
7101	1	1	1	2	7	110	3	1	243	0	0
7101	1	1	1	2	7	111	4	1	245	0	0
7101	1	1	1	2	7	112	15	0	311	0	0
7101	1	1	1	2	8	113	16	1	255	0	0
7101	1	1	1	2	8	114	9	0	320	0	0
7101	1	1	1	2	8	115	12	1	383	0	0
7101	1	1	1	2	8	116	5	0	378	0	0
7101	1	1	1	2	8	117	7	0	399	0	0
7101	1	1	1	2	8	118	13	0	530	0	0
7101	1	1	1	2	8	119	11	0	615	0	0
7101	1	1	1	2	8	120	8	0	369	0	0
7101	1	1	1	2	8	121	10	1	252	0	0
7101	1	1	1	2	8	122	3	1	1862	0	0
7101	1	1	1	2	8	123	6	0	890	0	0
7101	1	1	1	2	8	124	4	1	296	0	0
7101	1	1	1	2	8	125	1	1	371	0	0
7101	1	1	1	2	8	126	15	0	268	0	0
7101	1	1	1	2	8	127	2	1	293	0	0
7101	1	1	1	2	8	128	14	1	293	0	0
7103	1	3	1	1	1	1	5	0	4496	0	0
