"stim.number"	"cb1"	"cb2:D4"	"cb3:R1D3"	"cb4:R1D2"	"cb5:R2D34"	"cb6:R2D234"	"cb7:R3d24"	"cb8:R3D23"	"cb9:D1"	"cb10:D14"	"cb11:R1D13"	"cb12:R1D12"	"cb13:R2D134"	"cb14:R2D1234"	"c15:R4D124"	"c16:R3D123"
"1"	"1111"	"1110"	"1101"	"1011"	"1100"	"1000"	"1010"	"1001"	"0111"	"0110"	"0101"	"0011"	"0100"	"0000"	"0010"	"0001"
"2"	"1110"	"1111"	"1111"	"1001"	"1000"	"1100"	"0010"	"0001"	"0110"	"0111"	"0111"	"0001"	"0000"	"0100"	"1010"	"1001"
"3"	"1101"	"1100"	"1001"	"1111"	"0100"	"0000"	"1011"	"1000"	"0101"	"0100"	"0001"	"0111"	"1100"	"1000"	"0011"	"0000"
"4"	"1011"	"1010"	"0101"	"0011"	"1101"	"1001"	"1000"	"1011"	"0011"	"0010"	"1101"	"1011"	"0101"	"0001"	"0000"	"0011"
"5"	"0000"	"0001"	"0010"	"0100"	"0011"	"0111"	"0101"	"0110"	"1000"	"1001"	"1010"	"1100"	"1011"	"1111"	"1101"	"1110"
"6"	"0001"	"0000"	"0000"	"0110"	"0111"	"0011"	"1101"	"1110"	"1001"	"1000"	"1000"	"1110"	"1111"	"1011"	"0101"	"0110"
"7"	"0010"	"0011"	"0110"	"0000"	"1011"	"1111"	"0100"	"0111"	"1010"	"1011"	"1110"	"1000"	"0011"	"0111"	"1100"	"1111"
"8"	"0100"	"0101"	"1010"	"1100"	"0010"	"0110"	"0111"	"0100"	"1100"	"1101"	"0010"	"0100"	"1010"	"1110"	"1111"	"1100"
"9"	"0111"	"0110"	"1100"	"1010"	"1110"	"1010"	"1110"	"1101"	"1111"	"1110"	"0100"	"0010"	"0110"	"0010"	"0110"	"0101"
"10"	"1000"	"1001"	"0011"	"0101"	"0001"	"0101"	"0001"	"0010"	"0000"	"0001"	"1011"	"1101"	"1001"	"1101"	"1001"	"1010"
