"date"	"cond"	"subj"	"cb"	"phase"	"blk"	"trial"	"stim"	"resp"	"rt"	"corrcount"
"2013-11-13"	2	15001	1	2	1	1	5	1	0	0
"2013-11-13"	2	15001	1	2	1	2	4	1	0	0
"2013-11-13"	2	15001	1	2	1	3	1	1	0	0
"2013-11-13"	2	15001	1	2	1	4	2	1	0	0
"2013-11-13"	2	15001	1	2	1	5	8	1	0	0
"2013-11-13"	2	15001	1	2	1	6	7	1	0	0
"2013-11-13"	2	15001	1	2	1	7	6	1	0	0
"2013-11-13"	2	15001	1	2	1	8	3	1	0	0
"2013-11-13"	2	15001	1	2	2	9	1	1	0	0
"2013-11-13"	2	15001	1	2	2	10	7	1	0	0
"2013-11-13"	2	15001	1	2	2	11	5	1	0	0
"2013-11-13"	2	15001	1	2	2	12	6	1	0	0
"2013-11-13"	2	15001	1	2	2	13	3	1	0	0
"2013-11-13"	2	15001	1	2	2	14	2	1	0	0
"2013-11-13"	2	15001	1	2	2	15	8	1	0	0
"2013-11-13"	2	15001	1	2	2	16	4	1	0	0
"2013-11-13"	2	15001	1	2	3	17	5	1	0	0
"2013-11-13"	2	15001	1	2	3	18	6	1	0	0
"2013-11-13"	2	15001	1	2	3	19	7	1	0	0
"2013-11-13"	2	15001	1	2	3	20	8	1	0	0
"2013-11-13"	2	15001	1	2	3	21	2	1	0	0
"2013-11-13"	2	15001	1	2	3	22	3	1	0	0
"2013-11-13"	2	15001	1	2	3	23	4	1	0	0
"2013-11-13"	2	15001	1	2	3	24	1	1	0	0
"2013-11-13"	2	15001	1	3	1	1	8	1	0	0
"2013-11-13"	2	15001	1	3	1	2	3	1	281	0
"2013-11-13"	2	15001	1	3	1	3	4	1	245	0
"2013-11-13"	2	15001	1	3	1	4	10	1	290	0
"2013-11-13"	2	15001	1	3	1	5	9	0	230	0
"2013-11-13"	2	15001	1	3	1	6	5	0	251	0
"2013-11-13"	2	15001	1	3	1	7	11	0	256	0
"2013-11-13"	2	15001	1	3	1	8	7	0	326	0
"2013-11-13"	2	15001	1	3	1	9	1	1	279	0
"2013-11-13"	2	15001	1	3	1	10	6	0	219	0
"2013-11-13"	2	15001	1	3	1	11	15	0	505	0
"2013-11-13"	2	15001	1	3	1	12	14	1	284	0
"2013-11-13"	2	15001	1	3	1	13	13	0	176	0
"2013-11-13"	2	15001	1	3	1	14	2	1	320	0
"2013-11-13"	2	15001	1	3	1	15	16	1	43	0
"2013-11-13"	2	15001	1	3	1	16	12	1	401	0
"2013-11-13"	2	15001	1	3	2	17	4	1	423	0
"2013-11-13"	2	15001	1	3	2	18	6	0	332	0
"2013-11-13"	2	15001	1	3	2	19	3	1	310	0
"2013-11-13"	2	15001	1	3	2	20	11	0	329	0
"2013-11-13"	2	15001	1	3	2	21	14	1	323	0
"2013-11-13"	2	15001	1	3	2	22	9	0	492	0
"2013-11-13"	2	15001	1	3	2	23	15	0	439	0
