"date"	"subj"	"phase"	"blk"	"trial"	"stimtype"	"stim"	"trialtype"	"acc"	"resp"	"rt"
"03-13-2014"	28001	1	1	1	"A"	"A.bmp"	"L+"	1	"c"	7757
"03-13-2014"	28001	1	1	2	"AB"	"AB.bmp"	"R+"	1	"m"	5322
"03-13-2014"	28001	1	1	3	"BA"	"BA.bmp"	"R+"	1	"m"	4294
"03-13-2014"	28001	1	1	4	"B"	"B.bmp"	"L+"	1	"c"	2503
"03-13-2014"	28001	1	1	5	"AB"	"AB.bmp"	"R+"	0	"c"	1765
"03-13-2014"	28001	1	1	6	"B"	"B.bmp"	"L+"	0	"m"	1324
"03-13-2014"	28001	1	1	7	"BA"	"BA.bmp"	"R+"	0	"c"	2398
"03-13-2014"	28001	1	1	8	"A"	"A.bmp"	"L+"	1	"c"	5243
"03-13-2014"	28001	1	1	9	"AB"	"AB.bmp"	"R+"	1	"m"	1979
"03-13-2014"	28001	1	1	10	"A"	"A.bmp"	"L+"	1	"c"	1430
"03-13-2014"	28001	1	1	11	"BA"	"BA.bmp"	"R+"	1	"m"	1781
"03-13-2014"	28001	1	1	12	"B"	"B.bmp"	"L+"	1	"c"	678
"03-13-2014"	28001	1	1	13	"A"	"A.bmp"	"L+"	1	"c"	916
"03-13-2014"	28001	1	1	14	"BA"	"BA.bmp"	"R+"	1	"m"	1349
"03-13-2014"	28001	1	1	15	"AB"	"AB.bmp"	"R+"	0	"c"	1084
"03-13-2014"	28001	1	1	16	"B"	"B.bmp"	"L+"	0	"m"	928
"03-13-2014"	28001	1	1	17	"A"	"A.bmp"	"L+"	1	"c"	1615
"03-13-2014"	28001	1	1	18	"BA"	"BA.bmp"	"R+"	1	"m"	1118
"03-13-2014"	28001	1	1	19	"B"	"B.bmp"	"L+"	0	"m"	824
"03-13-2014"	28001	1	1	20	"AB"	"AB.bmp"	"R+"	0	"c"	805
"03-13-2014"	28001	1	1	21	"BA"	"BA.bmp"	"R+"	0	"c"	5670
"03-13-2014"	28001	1	1	22	"B"	"B.bmp"	"L+"	0	"m"	3939
"03-13-2014"	28001	1	1	23	"A"	"A.bmp"	"L+"	1	"c"	946
"03-13-2014"	28001	1	1	24	"AB"	"AB.bmp"	"R+"	0	"c"	557
"03-13-2014"	28001	1	1	25	"A"	"A.bmp"	"L+"	0	"m"	2415
"03-13-2014"	28001	1	1	26	"BA"	"BA.bmp"	"R+"	0	"c"	1782
"03-13-2014"	28001	1	1	27	"B"	"B.bmp"	"L+"	0	"m"	652
"03-13-2014"	28001	1	1	28	"AB"	"AB.bmp"	"R+"	0	"c"	545
"03-13-2014"	28001	1	1	29	"A"	"A.bmp"	"L+"	0	"m"	926
"03-13-2014"	28001	1	1	30	"B"	"B.bmp"	"L+"	0	"m"	664
"03-13-2014"	28001	1	1	31	"BA"	"BA.bmp"	"R+"	1	"m"	815
"03-13-2014"	28001	1	1	32	"AB"	"AB.bmp"	"R+"	1	"m"	675
"03-13-2014"	28001	1	1	33	"B"	"B.bmp"	"L+"	0	"m"	3823
"03-13-2014"	28001	1	1	34	"AB"	"AB.bmp"	"R+"	0	"c"	837
"03-13-2014"	28001	1	1	35	"BA"	"BA.bmp"	"R+"	0	"c"	854
"03-13-2014"	28001	1	1	36	"A"	"A.bmp"	"L+"	0	"m"	1118
"03-13-2014"	28001	1	1	37	"BA"	"BA.bmp"	"R+"	0	"c"	685
"03-13-2014"	28001	1	1	38	"B"	"B.bmp"	"L+"	0	"m"	920
"03-13-2014"	28001	1	1	39	"AB"	"AB.bmp"	"R+"	0	"c"	479
"03-13-2014"	28001	1	1	40	"A"	"A.bmp"	"L+"	1	"c"	487
"03-13-2014"	28001	1	1	41	"B"	"B.bmp"	"L+"	0	"m"	626
"03-13-2014"	28001	1	1	42	"BA"	"BA.bmp"	"R+"	1	"m"	584
"03-13-2014"	28001	1	1	43	"A"	"A.bmp"	"L+"	1	"c"	651
"03-13-2014"	28001	1	1	44	"AB"	"AB.bmp"	"R+"	1	"m"	684
"03-13-2014"	28001	1	1	45	"BA"	"BA.bmp"	"R+"	1	"m"	692
"03-13-2014"	28001	1	1	46	"A"	"A.bmp"	"L+"	1	"c"	582
"03-13-2014"	28001	1	1	47	"B"	"B.bmp"	"L+"	0	"m"	552
"03-13-2014"	28001	1	1	48	"AB"	"AB.bmp"	"R+"	0	"c"	514
"03-13-2014"	28001	1	1	49	"B"	"B.bmp"	"L+"	0	"m"	937
"03-13-2014"	28001	1	1	50	"BA"	"BA.bmp"	"R+"	1	"m"	7898
"03-13-2014"	28001	1	1	51	"A"	"A.bmp"	"L+"	0	"m"	629
"03-13-2014"	28001	1	1	52	"AB"	"AB.bmp"	"R+"	0	"c"	748
"03-13-2014"	28001	1	1	53	"B"	"B.bmp"	"L+"	0	"m"	920
