"subj"	"group"	"cb"	"age"	"gender"	"hand"	"fchoice"
601	2	2	21	"m"	"r"	1
602	3	1	19	"f"	"r"	1
603	3	2	18	"m"	"R"	1
605	2	2	19	"f"	"r"	2
607	3	2	22	"m"	"r"	2
608	2	1	18	"m"	"r"	2
609	3	2	19	"m"	"r"	2
610	2	1	20	"m"	"r"	1
612	2	1	18	"M"	"R"	1
613	3	2	21	"M"	"R"	1
615	2	2	25	"M"	"R"	1
616	3	1	22	"F"	"R"	1
618	3	1	21	"M"	"R"	1
619	2	2	24	"F"	"R"	1
620	2	1	20	"F"	"L"	1
622	2	1	63	"F"	"R"	1
624	2	1	20	"F"	"R"	2
627	3	2	43	"m"	"r"	1
628	2	1	22	"f"	"r"	2
629	3	2	26	"M"	"R"	2
630	2	1	21	"F"	"R"	2
631	3	2	21	"f"	"right"	2
632	2	1	27	"m"	"r"	1
633	3	2	19	"F"	"R"	1
634	2	1	46	"M"	"R"	2
635	2	2	23	"F"	"R"	2
636	3	1	34	"F"	"R"	1
637	3	2	22	"F"	"R"	1
638	3	1	25	"m"	"r"	1
639	2	2	23	"m"	"r"	2
640	2	1	41	"M"	"R"	2
641	3	2	49	"m"	"r"	2
642	2	1	21	"f"	"l"	1
643	3	2	21	"f"	"r"	2
644	2	1	19	"F"	"R"	1
645	3	2	20	"F"	"R"	1
6002	3	1	19	"f"	"R"	1
6003	3	2	18	"m"	"r"	1
6005	3	2	25	"f"	"r"	1
6006	2	1	19	"f"	"r"	2
6007	3	2	22	"m"	"r"	2
6008	2	1	18	"f"	"r"	2
6009	3	2	18	"f"	"r"	1
