"subj"	"group"	"cb"	"age"	"gender"	"hand"	"trial"	"stim"	"resp"	"acc"	"confrat"	"probrat"
601	2	2	21	"m"	"r"	1	1	2	1	301	59
601	2	2	21	"m"	"r"	2	2	1	0	160	15
601	2	2	21	"m"	"r"	3	3	1	1	178	180
602	3	1	19	"f"	"r"	1	1	2	1	301	182
602	3	1	19	"f"	"r"	2	2	3	1	300	118
602	3	1	19	"f"	"r"	3	3	1	1	300	60
603	3	2	18	"m"	"R"	1	1	2	1	598	309
603	3	2	18	"m"	"R"	2	2	3	1	598	300
603	3	2	18	"m"	"R"	3	3	2	0	599	311
605	2	2	19	"f"	"r"	1	1	3	0	180	415
605	2	2	19	"f"	"r"	2	2	1	0	304	405
605	2	2	19	"f"	"r"	3	3	2	0	304	425
607	3	2	22	"m"	"r"	1	1	3	1	360	353
607	3	2	22	"m"	"r"	2	2	3	0	392	441
607	3	2	22	"m"	"r"	3	3	1	0	373	367
608	2	1	18	"m"	"r"	1	1	3	1	418	364
608	2	1	18	"m"	"r"	2	2	1	1	541	475
608	2	1	18	"m"	"r"	3	3	2	1	365	243
609	3	2	19	"m"	"r"	1	1	2	0	418	364
609	3	2	19	"m"	"r"	2	2	1	1	418	119
609	3	2	19	"m"	"r"	3	3	1	0	416	428
610	2	1	20	"m"	"r"	1	1	3	0	422	422
610	2	1	20	"m"	"r"	2	2	3	1	363	424
610	2	1	20	"m"	"r"	3	3	2	0	364	362
612	2	1	18	"M"	"R"	1	1	3	1	237.8945	368.8594
612	2	1	18	"M"	"R"	2	2	1	1	391.5508	343.8906
612	2	1	18	"M"	"R"	3	3	1	0	326.3281	359.4688
613	3	2	21	"M"	"R"	1	1	2	1	328.1133	332.1094
613	3	2	21	"M"	"R"	2	2	3	1	397.4297	366.6055
613	3	2	21	"M"	"R"	3	3	1	1	365.9336	365.2656
615	2	2	25	"M"	"R"	1	1	3	0	124	238
615	2	2	25	"M"	"R"	2	2	3	1	240	245
615	2	2	25	"M"	"R"	3	3	1	1	306	365
616	3	1	22	"F"	"R"	1	1	2	0	395	228
616	3	1	22	"F"	"R"	2	2	3	0	288	168
616	3	1	22	"F"	"R"	3	3	1	0	275	154
618	3	1	21	"M"	"R"	1	1	2	0	599	571
618	3	1	21	"M"	"R"	2	2	3	0	488	463
618	3	1	21	"M"	"R"	3	3	1	0	518	304
619	2	2	24	"F"	"R"	1	1	2	0	214	362
619	2	2	24	"F"	"R"	2	2	1	1	180	298
619	2	2	24	"F"	"R"	3	3	2	1	240	323
620	2	1	20	"F"	"L"	1	1	3	1	416	363
620	2	1	20	"F"	"L"	2	2	3	0	599	479
620	2	1	20	"F"	"L"	3	3	1	0	599	541
622	2	1	63	"F"	"R"	1	1	3	1	322	144
622	2	1	63	"F"	"R"	2	2	1	1	334	237
622	2	1	63	"F"	"R"	3	3	1	0	256	151
624	2	1	20	"F"	"R"	1	1	3	1	537	301
624	2	1	20	"F"	"R"	2	2	1	1	476	301
624	2	1	20	"F"	"R"	3	3	2	1	480	297
627	3	2	43	"m"	"r"	1	1	2	1	304	421
627	3	2	43	"m"	"r"	2	2	3	1	472	489
627	3	2	43	"m"	"r"	3	3	1	1	531	473
628	2	1	22	"f"	"r"	1	1	2	1	342	386
628	2	1	22	"f"	"r"	2	2	1	0	386	453
628	2	1	22	"f"	"r"	3	3	2	0	448	531
629	3	2	26	"M"	"R"	1	1	2	1	277.8516	184.2109
629	3	2	26	"M"	"R"	2	2	1	0	138.2266	339.8281
629	3	2	26	"M"	"R"	3	3	2	0	309.6719	120.7383
630	2	1	21	"F"	"R"	1	1	2	1	58.2461	57.2188
630	2	1	21	"F"	"R"	2	2	1	0	66.9805	59.9219
630	2	1	21	"F"	"R"	3	3	1	1	175.9531	118.4688
631	3	2	21	"f"	"right"	1	1	3	1	418	393
631	3	2	21	"f"	"right"	2	2	1	1	454	461
631	3	2	21	"f"	"right"	3	3	2	1	457	532
632	2	1	27	"m"	"r"	1	1	2	1	486	25
632	2	1	27	"m"	"r"	2	2	3	1	382	235
632	2	1	27	"m"	"r"	3	3	1	1	349	176
633	3	2	19	"F"	"R"	1	1	2	1	528.0469	453.2148
633	3	2	19	"F"	"R"	2	2	3	1	523.8438	431.957
633	3	2	19	"F"	"R"	3	3	1	1	435.8125	402.4688
634	2	1	46	"M"	"R"	1	1	2	0	183.0508	295.1758
634	2	1	46	"M"	"R"	2	2	3	0	361.9922	358.9922
634	2	1	46	"M"	"R"	3	3	2	1	366.1523	181.3828
635	2	2	23	"F"	"R"	1	1	2	1	365.1602	358.5977
635	2	2	23	"F"	"R"	2	2	1	0	482.3594	301.1445
635	2	2	23	"F"	"R"	3	3	2	0	422.2266	364.7969
636	3	1	34	"F"	"R"	1	1	3	1	357	239
636	3	1	34	"F"	"R"	2	2	3	0	423	176
636	3	1	34	"F"	"R"	3	3	1	0	357	179
637	3	2	22	"F"	"R"	1	1	2	1	167	193
