"subj"	"group"	"cb"	"age"	"gender"	"hand"	"block"	"trial"	"stimtype"	"stim1"	"stim2"	"outcome"	"resp"	"rt"	"acc"
601	2	2	21	"m"	"r"	1	1	15	11	12	2	1	2.3217	-1
601	2	2	21	"m"	"r"	1	2	17	14	0	2	1	0.43929	-1
601	2	2	21	"m"	"r"	1	3	13	9	0	1	1	0.39165	1
601	2	2	21	"m"	"r"	1	4	10	7	0	2	1	0.59368	-1
601	2	2	21	"m"	"r"	1	5	8	6	0	1	1	0.51335	1
601	2	2	21	"m"	"r"	1	6	6	3	4	1	1	0.29615	1
601	2	2	21	"m"	"r"	1	7	2	2	0	1	1	0.59028	1
601	2	2	21	"m"	"r"	1	8	8	6	0	1	1	0.47899	1
601	2	2	21	"m"	"r"	1	9	4	3	0	2	1	0.93729	-1
601	2	2	21	"m"	"r"	1	10	6	4	3	1	1	0.58341	1
601	2	2	21	"m"	"r"	1	11	3	1	2	2	1	0.39909	-1
601	2	2	21	"m"	"r"	1	12	11	8	0	2	1	0.40866	-1
601	2	2	21	"m"	"r"	1	13	1	1	0	1	2	0.34975	20
601	2	2	21	"m"	"r"	1	14	18	15	16	1	1	0.89596	1
601	2	2	21	"m"	"r"	1	15	11	8	0	2	1	0.35859	-1
601	2	2	21	"m"	"r"	1	16	12	7	8	1	1	0.57516	1
601	2	2	21	"m"	"r"	1	17	17	14	0	2	2	0.4258	-20
601	2	2	21	"m"	"r"	1	18	7	5	0	1	1	0.46436	1
601	2	2	21	"m"	"r"	1	19	16	13	0	2	1	0.4564	-1
601	2	2	21	"m"	"r"	1	20	13	9	0	1	3	0.50549	100
601	2	2	21	"m"	"r"	1	21	14	10	0	1	1	0.45529	1
601	2	2	21	"m"	"r"	1	22	16	13	0	2	1	0.56043	-1
601	2	2	21	"m"	"r"	1	23	7	5	0	1	3	0.3273	100
601	2	2	21	"m"	"r"	1	24	1	1	0	1	1	0.37666	1
601	2	2	21	"m"	"r"	1	25	14	10	0	1	1	0.51292	1
601	2	2	21	"m"	"r"	1	26	9	6	5	2	3	0.33492	-100
601	2	2	21	"m"	"r"	1	27	5	4	0	2	1	0.60871	-1
601	2	2	21	"m"	"r"	1	28	18	16	15	1	1	0.48792	1
601	2	2	21	"m"	"r"	1	29	12	8	7	1	1	0.47087	1
601	2	2	21	"m"	"r"	1	30	3	2	1	2	1	0.34513	-1
601	2	2	21	"m"	"r"	1	31	2	2	0	1	1	0.62342	1
601	2	2	21	"m"	"r"	1	32	10	7	0	2	1	0.6003	-1
601	2	2	21	"m"	"r"	1	33	5	4	0	2	3	0.96722	-100
601	2	2	21	"m"	"r"	1	34	4	3	0	2	2	0.40785	-20
601	2	2	21	"m"	"r"	1	35	9	6	5	2	3	1.5056	-100
601	2	2	21	"m"	"r"	1	36	15	12	11	2	1	1.4879	-1
601	2	2	21	"m"	"r"	2	37	5	4	0	2	1	0.53579	-1
601	2	2	21	"m"	"r"	2	38	7	5	0	1	3	1.334	100
601	2	2	21	"m"	"r"	2	39	8	6	0	1	3	0.31198	100
601	2	2	21	"m"	"r"	2	40	5	4	0	2	1	0.39185	-1
601	2	2	21	"m"	"r"	2	41	16	13	0	2	1	0.4059	-1
601	2	2	21	"m"	"r"	2	42	11	8	0	2	1	0.4813	-1
601	2	2	21	"m"	"r"	2	43	3	1	2	2	2	0.54435	-20
601	2	2	21	"m"	"r"	2	44	1	1	0	1	1	0.59962	1
601	2	2	21	"m"	"r"	2	45	6	4	3	1	1	0.45629	1
601	2	2	21	"m"	"r"	2	46	2	2	0	1	1	0.40672	1
601	2	2	21	"m"	"r"	2	47	14	10	0	1	3	0.39324	100
601	2	2	21	"m"	"r"	2	48	11	8	0	2	1	0.43323	-1
601	2	2	21	"m"	"r"	2	49	10	7	0	2	1	0.34544	-1
601	2	2	21	"m"	"r"	2	50	1	1	0	1	1	0.55936	1
601	2	2	21	"m"	"r"	2	51	13	9	0	1	3	0.46169	100
601	2	2	21	"m"	"r"	2	52	2	2	0	1	2	0.46378	20
601	2	2	21	"m"	"r"	2	53	16	13	0	2	1	0.51269	-1
601	2	2	21	"m"	"r"	2	54	18	16	15	1	3	0.56014	100
601	2	2	21	"m"	"r"	2	55	15	11	12	2	2	0.57781	-20
601	2	2	21	"m"	"r"	2	56	12	7	8	1	1	0.5699	1
601	2	2	21	"m"	"r"	2	57	18	15	16	1	3	0.29536	100
601	2	2	21	"m"	"r"	2	58	9	6	5	2	3	0.7122	-100
601	2	2	21	"m"	"r"	2	59	12	8	7	1	3	0.42179	100
601	2	2	21	"m"	"r"	2	60	14	10	0	1	3	0.352	100
601	2	2	21	"m"	"r"	2	61	3	2	1	2	3	1.3758	-100
601	2	2	21	"m"	"r"	2	62	13	9	0	1	3	0.47196	100
601	2	2	21	"m"	"r"	2	63	8	6	0	1	3	0.33628	100
601	2	2	21	"m"	"r"	2	64	4	3	0	2	1	0.40856	-1
601	2	2	21	"m"	"r"	2	65	9	6	5	2	1	0.31372	-1
601	2	2	21	"m"	"r"	2	66	10	7	0	2	1	0.41703	-1
601	2	2	21	"m"	"r"	2	67	7	5	0	1	1	0.44736	1
